alto cargo	NCCSO00
a manos llenas	LOC_ADV
a mansalva	LOC_ADV
a mares	LOC_ADV
a mata caballo	LOC_ADV
a matacaballo	LOC_ADV
a mayor abundamiento	LOC_ADV
a mazo y escoplo	LOC_ADV
a media ladera	LOC_ADV
a media madera	LOC_ADV
a media margen	LOC_ADV
a media rienda	LOC_ADV
a media rodilla	LOC_ADV
a media voz	LOC_ADV
a mediados de	LOC_PREP
a medias palabras	LOC_ADV
a medida que	LOC_CS
a medio hacer	LOC_ADV
a medio plazo	LOC_ADV
a mediodía	LOC_ADV
a medios pelos	LOC_ADV
a menos que	LOC_CS
a menudo	LOC_ADV
a mesa puesta	LOC_ADV
a millaradas	LOC_ADV
a mis anchas	LOC_ADV
a mitad de	LOC_PREP
a modo de	LOC_PREP
a montón	LOC_ADV
a mucha honra	LOC_ADV
a muerte	LOC_ADV
a muerte o vida	LOC_ADV
a mujeriega	LOC_ADV
a más andar	LOC_ADV
a más correr	LOC_ADV
a más ganar	LOC_ADV
a más mejor	LOC_ADV
a más no poder	LOC_ADV
a más tardar	LOC_ADV
a más ver	LOC_ADV
a más y mejor	LOC_ADV
a nado	LOC_ADV
a no ser que	LOC_CS
a nombre de	LOC_PREP
a ojo de buen cubero	LOC_ADV
a ojos vistas	LOC_ADV
a pan y cuchillo	LOC_ADV
a partir de	LOC_PREP
a pasatoro	LOC_ADV
a paseo	LOC_ADV
a paso de tortuga	LOC_ADV
a paso largo	LOC_ADV
a pasto	LOC_ADV
a pesar de	LOC_PREP
a pesar de que	LOC_CS
a pesar de todo	LOC_ADV
a peso de oro	LOC_ADV
a petición de	LOC_PREP
a peón	LOC_ADV
a pica suelta	LOC_ADV
a pico	LOC_ADV
a pico de jarro	LOC_ADV
a pie firme	LOC_ADV
a pie llano	LOC_ADV
a pierna suelta	LOC_ADV
a pipiricojo	LOC_ADV
a pique de maceta	LOC_ADV
a plazo fijo	LOC_ADV
a plazos	LOC_ADV
a plomo	LOC_ADV
a poco que	LOC_CS
a poco rato	LOC_ADV
a pocos pasos	LOC_ADV
a porfía	LOC_ADV
a porrillo	LOC_ADV
a pospelo	LOC_ADV
a posteriori	LOC_ADV
a pote	LOC_ADV
a precio de coste	LOC_ADV
a primera sangre	LOC_ADV
a principios de	LOC_PREP
a priori	LOC_ADV
a prisa	LOC_ADV
a propósito de	LOC_PREP
a prorrata	LOC_ADV
a prueba de	LOC_PREP
a puchos	LOC_ADV
a puerta cerrada	LOC_ADV
a puestas	LOC_ADV
a punta de lanza	LOC_ADV
a punta de pistola	LOC_ADV
a punta pala	LOC_ADV
a puntapiés	LOC_ADV
a punto de	LOC_PREP
a punto de caramelo	LOC_ADV
a punto de que	LOC_CS
a punto de solfa	LOC_ADV
a punto fijo	LOC_ADV
a punto largo	LOC_ADV
a pupilo	LOC_ADV
a puñados	LOC_ADV
a puño cerrado	LOC_ADV
a quema ropa	LOC_ADV
a quemarropa	LOC_ADV
a rachas	LOC_ADV
a raja tabla	LOC_ADV
a rajatabla	LOC_ADV
a ras de	LOC_PREP
a ras de tierra	LOC_ADV
a ras del suelo	LOC_ADV
a rastras	LOC_ADV
a ratos perdidos	LOC_ADV
a raudales	LOC_ADV
a razón de	LOC_PREP
a raíz de	LOC_PREP
a reculones	LOC_ADV
a regaña dientes	LOC_ADV
a regañadientes	LOC_ADV
a rehala	LOC_ADV
a rembolso	LOC_ADV
a remiendos	LOC_ADV
a remo	LOC_ADV
a remojo	LOC_ADV
a renglón seguido	LOC_ADV
a reo	LOC_ADV
a repecho	LOC_ADV
a repelo	LOC_ADV
a repelones	LOC_ADV
a reserva de	LOC_PREP
a resto abierto	LOC_ADV
a retaguardia de	LOC_PREP
a revienta cinchas	LOC_ADV
a rienda suelta	LOC_ADV
a riesgo de	LOC_PREP
a riesgo y ventura	LOC_ADV
a rodeabrazo	LOC_ADV
a rompejunta	LOC_ADV
a rostro firme	LOC_ADV
a ruche	LOC_ADV
a río revuelto	LOC_ADV
a sabiendas	LOC_ADV
a salto de mata	LOC_ADV
a saltos	LOC_ADV
a sangre caliente	LOC_ADV
a sangre fría	LOC_ADV
a sangre y fuego	LOC_ADV
a santo de qué	LOC_ADV
a sardinel	LOC_ADV
a seguir bien	LOC_ADV
a semejanza de	LOC_PREP
a so capa	LOC_ADV
a sobre haz	LOC_ADV
a sobre peine	LOC_ADV
a sobremano	LOC_ADV
a socapa	LOC_ADV
a soga	LOC_ADV
a solapo	LOC_ADV
a solas	LOC_ADV
a solaz	LOC_ADV
a sotamano	LOC_ADV
a sotavento	LOC_ADV
a su imagen y semejanza	LOC_ADV
a suplicación de	LOC_PREP
a sus anchas	LOC_ADV
a súplica de	LOC_PREP
a tal punto que	LOC_CS
a teja vana	LOC_ADV
a tenor de	LOC_PREP
a tientas	LOC_ADV
a tiento	LOC_ADV
a tirada	LOC_ADV
a tiro de ballesta	LOC_ADV
a tiro de pistola	LOC_ADV
a tiro limpio	LOC_ADV
a tizón	LOC_ADV
a toca ropa	LOC_ADV
a toca teja	LOC_ADV
a tocateja	LOC_ADV
a toda brida	LOC_ADV
a toda costa	LOC_ADV
a toda furia	LOC_ADV
a toda hostia	LOC_ADV
a toda leche	LOC_ADV
a toda ley	LOC_ADV
a toda marcha	LOC_ADV
a toda mecha	LOC_ADV
a toda máquina	LOC_ADV
a toda pastilla	LOC_ADV
a toda plana	LOC_ADV
a toda prisa	LOC_ADV
a toda rienda	LOC_ADV
a todas estas	LOC_ADV
a todas horas	LOC_ADV
a todo andar	LOC_ADV
a todo correr	LOC_ADV
a todo evento	LOC_ADV
a todo gas	LOC_ADV
a todo lo largo	LOC_ADV
a todo lo largo de	LOC_PREP
a todo meter	LOC_ADV
a todo moler	LOC_ADV
a todo pasto	LOC_ADV
a todo riesgo	LOC_ADV
a todo ruedo	LOC_ADV
a todo tirar	LOC_ADV
a todo trance	LOC_ADV
a todo vapor	LOC_ADV
a tontas y a locas	LOC_ADV
a topa tolondro	LOC_ADV
a tope	LOC_ADV
a toque de campana	LOC_ADV
a torna peón	LOC_ADV
a torna punta	LOC_ADV
a torno	LOC_ADV
a traición	LOC_ADV
a trancas y barrancas	LOC_ADV
a trancos	LOC_ADV
a traque barraque	LOC_ADV
a través de	LOC_PREP
a troche y moche	LOC_ADV
a trompa y talega	LOC_ADV
a trompicones	LOC_ADV
a tropezones	LOC_ADV
a trueco de	LOC_PREP
a trueque	LOC_ADV
