# Similar words: verb without accent, noun with accent; POS tag of the noun. 
# Used by AccentuationCheckRule.
# This file must be encoded in UTF-8.
maculas;máculas;NCFP000
maja;majá;NCMS000
majas;majás;NCMP000
mama;mamá;NCFS000
mamas;mamás;NCFP000
mana;maná;NCMS000
manipulo;manípulo;NCMS000
maquina;máquina;NCFS000
maquinas;máquinas;NCFP000
marques;marqués;NCMS000
mascara;máscara;NCFS000
mascaras;máscaras;NCFP000
mascaron;mascarón;NCMS000
mastique;mástique;NCMS000
mastiques;mástiques;NCMP000
matricula;matrícula;NCFS000
matriculas;matrículas;NCFP000
medica;médica;NCFS000
medicas;médicas;NCFP000
medico;médico;NCCS000
merito;mérito;NCMS000
milimetro;milímetro;NCMS000
milite;mílite;NCMS000
milites;mílites;NCMP000
modulo;módulo;NCMS000
monologo;monólogo;NCMS000
moran;morán;NCMS000
mugiles;múgiles;NCMP000
musica;música;NCFS000
musicas;músicas;NCFP000
musico;músico;NCMS000
naufraga;náufraga;NCFS000
naufragas;náufragas;NCFP000
naufrago;náufrago;NCMS000
nausea;náusea;NCFS000
nauseas;náuseas;NCFP000
niqueles;níqueles;NCMP000
nomina;nómina;NCFS000
nominas;nóminas;NCFP000
noven;novén;NCMS000
numero;número;NCMS000
oleo;óleo;NCMS000
oleos;óleos;NCMP000
opera;ópera;NCFS000
operas;óperas;NCFP000
oposito;opósito;NCMS000
orbita;órbita;NCFS000
orbitas;órbitas;NCFP000
ordenes;órdenes;NCCP000
ovalo;óvalo;NCMS000
ovalos;óvalos;NCMP000
ovulo;óvulo;NCMS000
oxido;óxido;NCMS000
oxigeno;oxígeno;NCMS000
pagalo;págalo;NCMS000
pagalos;págalos;NCMP000
pagare;pagaré;NCMS000
pagares;pagarés;NCMP000
pagina;página;NCFS000
paginas;páginas;NCFP000
palmares;palmarés;NCMS000
palpito;pálpito;NCMS000
papa;papá;NCMS000
papara;pápara;NCFS000
paparas;páparas;NCFP000
papas;papás;NCMP000
para;pará;NCMS000
paramos;páramos;NCMP000
paras;parás;NCMP000
participe;partícipe;NCCS000
participes;partícipes;NCCP000
patina;pátina;NCFS000
patinas;pátinas;NCFP000
paules;paúles;NCMP000
pean;peán;NCMS000
pecan;pecán;NCMS000
pequen;pequén;NCMS000
peroxido;peróxido;NCMS000
persigo;pérsigo;NCMS000
pesame;pésame;NCMS000
petalo;pétalo;NCMS000
petalos;pétalos;NCMP000
petroleo;petróleo;NCMS000
picara;pícara;NCFS000
picaras;pícaras;NCFP000
piden;pidén;NCMS000
pillaban;pillabán;NCMS000
pillan;pillán;NCMS000
pinche;pinché;NCMS000
pinches;pinchés;NCMP000
pique;piqué;NCMS000
piques;piqués;NCMP000
pixeles;píxeles;NCMP000
placeme;pláceme;NCMS000
platica;plática;NCFS000
platicas;pláticas;NCFP000
postula;póstula;NCFS000
postulas;póstulas;NCFP000
practica;práctica;NCFS000
practicas;prácticas;NCFP000
practico;práctico;NCMS000
predica;prédica;NCFS000
predicas;prédicas;NCFP000
prestamos;préstamos;NCMP000
prodiga;pródiga;NCFS000
prodigas;pródigas;NCFP000
prodigo;pródigo;NCMS000
prologo;prólogo;NCMS000
pronostico;pronóstico;NCMS000
prorroga;prórroga;NCFS000
prorrogas;prórrogas;NCFP000
publico;público;NCMS000
pulsares;púlsares;NCMP000
punzo;punzó;NCMS000
purpura;púrpura;NCMS000
purpuras;púrpuras;NCMP000
rabies;rabíes;NCMP000
radian;radián;NCMS000
raja;rajá;NCCS000
rajas;rajás;NCCP000
rape;rapé;NCMS000
rapes;rapés;NCMP000
raspanos;ráspanos;NCMP000
recalculo;recálculo;NCMS000
recamara;recámara;NCFS000
recamaras;recámaras;NCFP000
reciproca;recíproca;NCFS000
reciprocas;recíprocas;NCFP000
reciproco;recíproco;NCMS000
regulo;régulo;NCMS000
replica;réplica;NCFS000
replicas;réplicas;NCFP000
republica;república;NCFS000
republicas;repúblicas;NCFP000
republico;repúblico;NCMS000
reten;retén;NCMS000
retorica;retórica;NCFS000
retorica;retórica;NCFS000
retoricas;retóricas;NCFP000
retoricas;retóricas;NCFP000
retorico;retórico;NCMS000
revalida;reválida;NCFS000
revalidas;reválidas;NCFP000
rio;río;NCMS000
robalo;róbalo;NCMS000
robalos;róbalos;NCMP000
rondo;rondó;NCMS000
rotula;rótula;NCFS000
rotulas;rótulas;NCFP000
rotulo;rótulo;NCMS000
rubrica;rúbrica;NCFS000
rubricas;rúbricas;NCFP000
rumies;rumíes;NCMP000
rutilo;rútilo;NCMS000
saltaren;saltarén;NCMS000
sedan;sedán;NCMS000
seos;seós;NCCP000
silaba;sílaba;NCFS000
silabas;sílabas;NCFP000
silabo;sílabo;NCMS000
sincopa;síncopa;NCFS000
sincopas;síncopas;NCFP000
sincope;síncope;NCMS000
sincopes;síncopes;NCMP000
sindico;síndico;NCMS000
socarren;socarrén;NCMS000
sofistica;sofística;NCFS000
sofisticas;sofísticas;NCFP000
solea;soleá;NCFS000
soleo;sóleo;NCMS000
solido;sólido;NCMS000
subtitulo;subtítulo;NCMS000
suplica;súplica;NCFS000
suplicas;súplicas;NCFP000
talamos;tálamos;NCMP000
talan;talán;NCMS000
tapara;tápara;NCFS000
taparas;táparas;NCFP000
tarara;tarará;NCMS000
tararas;tararás;NCMP000
tempano;témpano;NCMS000
tempera;témpera;NCFS000
temperas;témperas;NCFP000
templen;templén;NCMS000
termino;término;NCMS000
timalo;tímalo;NCMS000
timalos;tímalos;NCMP000
titulo;título;NCMS000
trafago;tráfago;NCMS000
trafico;tráfico;NCMS000
tragala;trágala;NCMS000
tragalas;trágalas;NCMP000
tramite;trámite;NCMS000
tramites;trámites;NCMP000
transito;tránsito;NCMS000
traquea;tráquea;NCFS000
traqueas;tráqueas;NCFP000
tremoles;trémoles;NCMP000
tremolo;trémolo;NCMS000
trepano;trépano;NCMS000
trepanos;trépanos;NCMP000
triangulo;triángulo;NCMS000
trocala;trócala;NCFS000
trocalas;trócalas;NCFP000
tupe;tupé;NCMS000
tupes;tupés;NCMP000
ulcera;úlcera;NCFS000
ulceras;úlceras;NCFP000
ulula;úlula;NCFS000
ululas;úlulas;NCFP000
valido;válido;NCMS000
vehiculo;vehículo;NCMS000
vertebra;vértebra;NCFS000
vertebras;vértebras;NCFP000
viatico;viático;NCMS000
victima;víctima;NCFS000
victimas;víctimas;NCFP000
vienes;vienés;NCMS000
vinculo;vínculo;NCMS000
vomito;vómito;NCMS000
