# This file has list of words that need to be removed in disamibguator.
# These worms are in the dictionary but extremely rare and cause ambiguity for frequent words.
# Anything with conditional logic should go into disambiguation.xml

А-БА-БА-ГА-ЛА-МА-ГА а-ба-ба-га-ла-ма-га noun:inanim:f:v_naz:prop:bad
злодію злодіяти verb:imperf:pres:s:1
змиряться змирятися verb:rev:imperf:inf:arch:short
зміни змінити verb:perf:impr:s:2
змов змовити verb:perf:impr:s:2
знайомим знайомити verb:imperf:pres:p:1:subst
значить значити verb:imperf:inf.*:short.*
зникне зникний adj:n:.*
золотим золотити verb:imperf:pres:p:1:subst
золотій золотіти verb:imperf:impr:s:2
зорю зорати verb:perf:futr:s:1|зорити verb:imperf:pres:s:1
зрив зрити verb:perf:past:m
Індіани індіанин noun:anim:p:v_.*
Індію індій noun:inanim:m:.*
Індії індій noun:inanim:m:.*
іскри іскрити verb:imperf:impr:s:2
його йога noun:inanim:f:v_kly
каламбур каламбурити verb:imperf:impr:s:2
каламутній каламутніти verb:imperf:impr:s:2
квітнем квітнути verb:imperf:pres:p:1:subst
квітні квітний adj:p:.*
кволій кволіти verb:imperf:impr:s:2
кислим кислити verb:imperf:pres:p:1:subst
киснем киснути verb:imperf:pres:p:1:subst
кілько кілька noun:anim:f:v_kly
клей клеїти verb:imperf:impr:s:2
клеймо клеїти verb:imperf:impr:p:1
клячу клячати verb:imperf:pres:s:1:arch
княжим княжити verb:imperf:pres:p:1:subst
княжу княжити verb:imperf:pres:s:1
край краяти verb:imperf:impr:s:2
красу красий adj:f:v_zna:coll
краю краяти verb:imperf:pres:s:1
кривавим кривавити verb:imperf:pres:p:1:subst
кривій кривіти verb:imperf:impr:s:2
крохмалю крохмалити verb:imperf:pres:s:1
колись колотися verb:rev:imperf:impr:s:2
кореню коренити verb:imperf:pres:s:1
корми кормити verb:imperf:impr:s:2
кошлатим кошлатити verb:imperf:pres:p:1:subst
краєм краяти verb:imperf:pres:p:1:subst
краси красити verb:imperf:impr:s:2
красі красий adj:p:.*
кресало кресати verb:imperf:past:n
кривим кривити verb:imperf:pres:p:1:subst
крижаній крижаніти verb:imperf:impr:s:2
круглим круглити verb:imperf:pres:p:1:subst
круглій кругліти verb:imperf:impr:s:2
Купала купати verb:imperf:past:f
куснем куснути verb:perf:futr:p:1:subst
кучерявим кучерявити verb:imperf:pres:p:1:subst
лагідній лагідніти verb:imperf:impr:s:2
липнем липнути verb:imperf:pres:p:1:subst
лиходій лиходіяти verb:imperf:impr:s:2
лиходієм лиходіяти verb:imperf:pres:p:1:subst
ліва ліва noun:inanim:f:.*
лівій лівіти verb:imperf:impr:s:2
ліву ліва noun:inanim:f:v_zna
ліз лоза noun:inanim:p:v_rod
лінивій лінивіти verb:imperf:impr:s:2
лукавим лукавити verb:imperf:pres:p:1:subst
лунко лунка noun:anim:f:v_kly
лютим лютити verb:imperf:pres:p:1:subst
лютій лютіти verb:imperf:impr:s:2
#коли
Має Мая noun:anim:f:v_kly:prop:fname
майну майнути verb:perf:futr:s:1
малій маліти verb:imperf:impr:s:2
мати мата noun:inanim:.*
меблі мебля noun:inanim:f:v_.*
мер мерти verb:imperf:past:m
мережу мережити verb:imperf:pres:s:1
Мерло мерти verb:imperf:past:n
мертвим мертвити verb:imperf:pres:p:1:subst
мертвій мертвіти verb:imperf:impr:s:2
мети метати verb:imperf:impr:s:2|мести verb:imperf:impr:s:2
мечем метати verb:imperf:pres:p:1:subst
милим милити verb:imperf:pres:p:1:subst
миль милити verb:imperf:impr:s:2
миті мит noun:inanim:m:v_mis
мито мити verb:imperf:impers
мить мити verb:imperf:inf:short
мідним міднити verb:imperf:pres:p:1:subst
місяців місяців adj:m:.*
мовляв мовляти verb:imperf:past:m:rare
могутній могутніти verb:imperf:impr:s:2
мокрій мокріти verb:imperf:impr:s:2
молодій молодіти verb:imperf:impr:s:2
молодим молодити verb:imperf:pres:p:1:subst
можна можний adj:f:.*
МОК мокнути verb:imperf:past:m
Морено морити verb:imperf:impers
морю морити verb:imperf:pres:s:1
мужній мужніти verb:imperf:impr:s:2
мутній мутніти verb:imperf:impr:s:2
м'якшим м'якшити verb:imperf:pres:p:1:subst
м'якшу м'якшити verb:imperf:pres:s:1
навали навалити verb:perf:impr:s:2
назовні назовний adj:p:v_.*:arch
належите належитий adj:n.*
намети намести verb:perf:impr:s:2
намір намірити verb:perf:impr:s:2
напилися напилитися verb:rev:perf:impr:s:2
напливу напливти verb:perf:futr:s:1
настала насталий adj:f:.*
настій настояти verb:perf:impr:s:2
натоміть натомити verb:perf:impr:p:2
невидержко невидержка noun:inanim:f:v_kly
недобрий недобрити verb:perf:impr:s:2
недогляди недоглядіти verb:perf:impr:s:2:xp2
нікчемній нікчемніти verb:imperf:impr:s:2
неможна неможний adj:f:v_...:arch
німій німіти verb:imperf:impr:s:2
нерухомій нерухоміти verb:imperf:impr:s:2
нехай нехаяти verb:imperf:impr:s:2
Нова Нова noun:inanim:f:v_...:prop:geo
обідній обідніти verb:perf:impr:s:2
оборони оборонити verb:perf:impr:s:2
обруч обруч adv:arch
обряди обрядити verb:perf:impr:s:2
обурено обурити verb:perf:impers
одягне одягний adj:n:.*
озерним озернити verb:perf:futr:p:1:subst
округлим округлити verb:perf:futr:p:1:subst
