#English multiwords file used for EnglishHybridDisambiguator
# Use this file only for multi-word terms that have these properties: 1) disambiguation is not necessary. 2) the term has only one part of speech (NOT sotto voce, which is RB and JJ).
# Do not add the term to spelling.txt, because spelling is ignored automatically for each term in this file.
# Terms are case-sensitive, but for each term, POS is added and spelling is ignored for (1) all uppercase text and (2) for text that has a capital letter for the first character of the first word.
All Saints Sisters of the Poor	NNP # www.allsaintssistersofthepoor.org.uk
da Vinci	NNP
Da Vinci Code	NNP
Dabo Health	NNP
Dade Boulevard	NNP
Daft Punk	NNP
Daily Mirror	NNP
Dainik Bhaskar	NNP
Dainik Jagran	NNP
Dallas Mavericks	NNP
Daly City	NNP
Daly College	NNP
Daly County	NNP
Daly River	NNP
Dan Brown	NNP
Daniel Craig	NNP
Daniel Day-Lewis	NNP
Danny Trejo	NNP
Dante Alighie	NNP
Darth Vader	NNP
David Bowie	NNP
David Guetta	NNP
David Hume	NNP
DC Comics	NNP
de nos jours	JJ
Debbie Reynolds	NNP
Deepwater Horizon	NNP
Deerfield Beach	NNP
Def Leppard	NNP
Dei gratia	RB
Del Norte	NNP
Del Norte County	NNP
Del Rey	NNP
Delivery Hero	NNP
Dell XPS	NNP
Delray Beach	NNP
Delta Air Lines	NNP
Demi Lovato	NNP
Den Haag	NNP
Denver Nuggets	NNP
Denzel Washington	NNP
Deo gratias	UH
Deo volente	RB
Department of Better Technology	NNP
Depeche Mode	NNP
Der Spiegel	NNP
dernier cri	NN:U
Des Moines	NNP
Desperate Housewives	NNP
Detroit Pistons	NNP
deus ex machina	NN
Deutsche Bahn	NNP
Deutsche Bank	NNP
Deutsche Bundesbank	NNP
Deutsche Mark	NNP
Deutsche Post	NNP
Deutsche Telekom	NNP
Deutsche Welle	NNP
Deutsche Wohnen	NNP
Deutsches Reich	NNP
Development Seed	NNP
Diane Kruger	NNP
Dick Cheney	NNP
Didi Chuxing	NNP
Diego Maradona	NNP
Dina Thanthi	NNP
Diridon Station	NNP
Dirk Nowitzki	NNP
Disambiguator Log	NNP
Disney Channel	NNP
Disney+	NNP
Dita Von Teese	NNP
DJ Khaled	NNP
#dm'd	NNP
Docket Alarm	NNP
Doctor Who	NNP
Dolby Atmos	NNP
Dolby Cinema	NNP
Dolby Digital	NNP
Dolby TrueHD	NNP
Dolby Vision	NNP
dolce far niente	NN:U
Dolce Gusto	NNP
dolce vita	NN:U
doli capax	JJ
doli incapax	JJ
Don Draper	NNP
Don Omar	NNP
Donald Trump	NNP
Donkey Kong	NNP
Donkey Kong Country	NNP
double entendre	NN
double entendres	NNS
Doug Emhoff	NNP
Dow Jones	NNP
Dow Jones & Co	NNP
Dow Jones Industrial	NNP
Dow Jones Industrial Average	NNP
Downton Abbey	NNP
Dr Pepper	NNP
Dr. Dre	NNP
dramatis personae	NNS
drophead coupé	NN
drophead coupés	NNS
Dry Tortugas	NNP
du jour	JJ
Dua Lipa	NNP
Dun & Bradstreet	NNP
Dungeons & Dragons	NNP
Dungeons and Dragons	NNP
Dunkin' Donuts	NNP
Dunkin’ Donuts	NNP
DuPage County	NNP
Duran Duran	NNP
Dustin Hoffman	NNP
Dáil Éireann	NNP
déjà vu	NN:U
E. coli	NNP
Earl Grey	NNP
Earth Networks	NNP
EarthObserver App	NNP
Eat Shop Sleep	NNP
Eau Claire	NNP
ecce homo	_multiword_
Echo Dot	NNP
Echo Show	NNP
Ed Sheeran	NNP
Eddie Murphy	NNP
Eddie Van Halen	NNP
Edgar Allan Poe	NNP
Edmund Husserl	NNP
Edward Snowden	NNP
#ejusdem generis	NNP
El Banco	NNP
El Berrendo	NNP
El Brazil	NNP
El Cajon	NNP
El Camino	NNP
El Camino Angosto	NNP
El Campo	NNP
El Capitan	NNP
El Castillo	NNP
El Cenizo	NNP
El Cerro	NNP
El Chaparral	NNP
El Chapo	NNP
El Clásico	NNP
El Dorado	NNP
El Duende	NNP
El Greco	NNP
El Loco	NNP
El Monte	NNP
El Mundo	NNP
El Nido	NNP
El Niño	NNP
El Niño-Southern Oscillation	NNP
El Paso	NNP
El Paso de Robles	NNP
El Paso Robles	NNP
El País	NNP
El Portal	NNP
El Porvenir	NNP
El Profesor	NNP
El Rancho	NNP
El Reno	NNP
El Rio	NNP
El Rito	NNP
El Salvador	NNP
El Segundo	NNP
El Sobrante	NNP
El Tajín	NNP
El Valle de Arroyo Seco	NNP
El Verano	NNP
Electro Valley	NNP
Electronic Arts	NNP
Elizabeth Taylor	NNP
Elon Musk	NNP
Elton John	NNP
Elvis Costello	NNP
Elvis Presley	NNP
embaras de richesse	NN
embaras de richesses	NNS
embarras de richesse	NN
embarras de richesses	NNS
Emily Blunt	NNP
Emily Brontë	NNP
Emily Dickinson	NNP
Emma Stone	NNP
Emmanuel Macron	NNP
en famille	RB
en masse	RB
en passant	RB
Encyclopædia Britannica	NNP
Energy Points	NNP
Energy Solutions Forum	NNP
Enervee Corporation	NNP
enfant terrible	NN
enfants terribles	NNS
entente cordiale	NN
entre nous	RB
Environmental Data Resources	NNP
Eochaid Sálbuide	NNP
Epic Games	NNP
Epoch Times	NNP
Equal Pay for Women	NNP
Eric Clapton	NNP
Erich Maria Remarque	NNP
Ernest Hemingway	NNP
Ernst & Young LLP	NNP
Ernst Lubitsch	NNP
Erwin Rommel	NNP
esprit de corps	NN:U
Espírito Santo	NNP
Estero Bay	NNP
et al	_multiword_
Ethiopian Airlines	NNP
Etihad Airways	NNP
Euler Hermes	NNP
EURO STOXX	NNP
Euro Stoxx	NNP
Eva Mendes	NNP
Everyday Health	NNP
#ex cathedra	NNP
#ex gratia	NNP
#ex officio	NNP
#ex parte	NNP
#ex post facto	NNP
exempli gratia	RB
Expert Health Data Programming	NNP
FA Cup	NNP
Face ID	NNP
Facebook Ads	NNP
Facebook Creator Studio	NNP
Fachtna Fáthach	NNP
fait accompli	NN
faits accomplis	NNS
Fannin County	NNP
Farrah Fawcett	NNP
Fast & Furious	NNP
Fast and Furious	NNP
fata morgana	NN
faute de mieux	RB
Faye Dunaway	NNP
façon de parler	_multiword_
Fedelm Noíchrothach	NNP
Felix Mendelssohn	NNP
femme fatale	NN
femmes fatales	NNS
Fergus mac Róich	NNP
Ferris Bueller	NNP
Fianna Fáil	NNP
Fianna Éireann	NNP
Fidel Castro	NNP
Fidelity Investments	NNP
filé powder	NN:U
Filé Powder	NN:U
fin de siècle	NN
Final Cut Pro	NNP
Final Fantasy	NNP
Financial Times	NNP
First Fuel Software	NNP
Flannery O'Connor	NNP
Flannery O’Connor	NNP
Flo Rida	NNP
folie de grandeur	NN:U
folie à deux	NN
folies à deux	NNS
Fond du Lac	NNP
Foo Fighters	NNP
Food+Tech Connect	NNP
Foot Locker	NNP
force de frappe	NN
Ford C-Max	NNP
Ford C-MAX	NNP
Ford S-Max	NNP
Ford S-MAX	NNP
Forge of Empires	NNP
Forrest Gump	NNP
Forrester Research	NNP
Fortune 500	NNP
Fox News	NNP
Francis Bacon	NNP
Frank Sinatra	NNP
Frank Zappa	NNP
Frankfurter Allgemeine	NNP
Frankfurter Allgemeine Zeitung	NNP
Franz Kafka	NNP
Fred Perry	NNP
French Guianan	NNP
French Guianans	NNPS
Frida Kahlo	NNP
Friedrich Fröbel	NNP
Friedrich Merz	NNP
Friedrich Nietzsche	NNP
Friedrich Schiller	NNP
Fruit of the Loom	NNP
Frédéric Chopin	NNP
Funding Circle	NNP
Fuzion Apps	NNP
fête champêtre	NN
fêtes champêtres	NNS
G-Star Raw	NNP
Gabriel García Márquez	NNP
Gaius Caesar	NNP
Gaius Marius	NNP
Gal Gadot	NNP
Game Boy	NNP
Game of Thrones	NNP
Gangnam Style	NNP
Gareth Bale	NNP
Gary Oldman	NNP
Gavin Newsom	NNP
Gene Hackman	NNP
General Electric	NNP
General Mills	NNP
#General Motors	NNP
Genshin Impact	NNP
Geoffrey Chaucer	NNP
Geordie Shore	NNP
Georg Wilhelm Friedrich Hegel	NNP
George Berkeley	NNP
George Bush	NNP
George Clooney	NNP
George Eliot	NNP
George Floyd	NNP
George Harrison	NNP
George Orwell	NNP
George Washington	NNP
Gerald Ford	NNP
Gerard Piqué	NNP
Gerhard Schröder	NNP
German Shorthaired	NNP
Getty Images	NNP
Gisele Bündchen	NNP
Giuseppe Conte	NNP
Givat Ram	NNP
Glassy Media	NNP
Golden Globes	NNP
Golden Helix	NNP
Golden State Warriors	NNP
Goldie Hawn	NNP
Goldman Sachs	NNP
Google Ads	NNP
Google Analytics	NNP
Google Classroom	NNP
Google Cloud	NNP
Google Docs	NNP
Google Drive	NNP
Google Duo	NNP
Google Earth	NNP
Google Hangout	NNP
Google Hangouts	NNP
Google Home	NNP
Google Inc	NNP
Google Maps	NNP
Google News	NNP
Google Pay	NNP
Google Pixel	NNP
Google Play	NNP
Google Public Data Explorer	NNP
Google Scholar	NNP
Google Search Console	NNP
Google Stadia	NNP
Google Street View	NNP
Google Translate	NNP
Google Workspace	NNP
Gossip Girl	NNP
Gottfried Wilhelm Leibniz	NNP
Gottlieb Daimler	NNP
Gottlob Frege	NNP
Government Transaction Services	NNP
Grace Kelly	NNP
gRadiant Research LLC	NNP
Graebel Van Lines	NNP
Gram Parsons	NNP
grand mal	NN:U
Grand Teton	NNP
grande dame	NN
grandes dames	NNS
Grandmaster Flash	NNP
grape-seed oil	NN:U
grapeseed oil	NN:U
Green Lantern	NNP
Green New Deal	NNP
Gregory Peck	NNP
Greta Garbo	NNP
Greta Thunberg	NNP
Grey's Anatomy	NNP
Grey’s Anatomy	NNP
Guillain-Barré syndrome	NN:U
gumbo filé	NN:U
Gumbo Filé	NN:U
Gustave Flaubert	NNP
Gustavo Díaz Ordaz	NNP
Gwyneth Paltrow	NNP
Gáe Bolg	NNP
Gáe Bolga	NNP
Gáe Bulg	NNP
Gáe Bulga	NNP
GödelFergus mac Róich	NNP
H3 Biomedicine	NNP
habeas corpus	NN:U
habeas corpuses	_multiword_
Hagia Sophia	NNP
Haldimand County	NNP
Halle Berry	NNP
Halo Infinite	NNP
Han Solo	NNP
Hang Seng	NNP
Hank Williams	NNP
Hannah Arendt	NNP
Hans Christian Andersen	NNP
Harley Davidson	NNP
Harman Kardon	NNP
Harper's Bazaar	NNP
Harper’s Bazaar	NNP
Harper's BAZAAR	NNP
Harper’s BAZAAR	NNP
Harris Corporation	NNP
Harrison Ford	NNP
Harry Potter	NNP
Harry Styles	NNP
haut monde	NN:U
haute couture	NN:U
haute cuisine	NN:U
havelock cap	NN
Heckler & Koch	NNP
Heidi Klum	NNP
Helen Mirren	NNP
Hells Angels	NNP
Helmut Kohl	NNP
Helmut Schmidt	NNP
Helvetica Neue	NNP
Henry Fonda	NNP
Henry Ford	NNP
Henry Thoreau	NNP
Herman Melville	NNP
Hermann Hesse	NNP
Hervey Bay	NNP
Hewlett Packard	NNP
Hewlett Packard Enterprise	NNP
High School Musical	NNP
Hillary Clinton	NNP
Hindustan Dainik	NNP
Ho Chi Minh	NNP
hoi polloi	NNS
Home Depot	NNP
Homer Simpson	NNP
Honest Buildings	NNP
hors d’oeuvre	NN
hors d’oeuvres	NNS
hors d'oeuvre	NN
hors d’oeuvre	NN
hors d'oeuvres	NNS
hors d’oeuvres	NNS
hors de combat	JJ
House of Cards	NNP
Houston Astros	NNP
Houston Rockets	NNP
How I Met Your Mother	NNP
Hu Jintao	NNP
Huang He	NNP
Hubba Bubba	NNP
Huffington Post	NNP
Hugh Jackman	NNP
Hugo Boss	NNP
Hulk Hogan	NNP
Humphrey Bogart	NNP
Humpty Dumpty	NNP
Hurricane Sally	NNP
Hyundai i10	NNP
Hyundai i20	NNP
Hyundai Kona	NNP
Hyundai Santa Fe	NNP
Hyundai Tucson	NNP
Häagen Dazs	NNP
Hồ Chí Minh	NNP
iA Writer	NNP
ID.3	NNP
ID.Buzz	NNP
ID.Crozz	NNP
Idris Elba	NNP
idée fixe	NN
idée reçue	NN
idées fixes	NNS
idées reçues	NNS
iFactor Consulting	NNP
IFI CLAIMS Patent Services	NNP
Igor Levit	NNP
Impact Forecasting	NNP
Impaq International	NNP
Imperial Brands	NNP
IMS Health	NNP
in absentia	RB
in extremis	RB
in flagrante delicto	RB
#in loco parentis	NNP
in medias res	RB
#in memoriam	NNP
in personam	JJ
in propria persona	RB
#in situ	NNP
in toto	RB
in vino veritas	UH
#in vitro	NNP
Indiana Pacers	NNP
InfoCommerce Group	NNP
Ingrid Bergman	NNP
Innovest Systems	NNP
Inrix Traffic	NNP
Intel Celeron	NNP
Intel Core	NNP
Intel Pentium	NNP
IntelliJ IDEA	NNP
inter alia	RB
#inter vivos	NNP
Interjet Airlines	NNP
Intermap Technologies	NNP
Interscope Records	NNP
intl.	JJ
intra vires	RB
Inyo County	NNP
iPad Air	NNP
iPad Mini	NNP
iPad Pro	NNP
iPhone SE	NNP
ipso facto	RB
Iron Maiden	NNP
Iron Man	NNP
Isaac Asimov	NNP
Isaac Newton	NNP
Isle Royale	NNP
Isuzu Motors	NNP
iTunes Connect	NNP
iTunes Store	NNP
iTunes U	NNP
IVES Group	NNP
Ivinson Street	NNP
Ivy League	NNP
IW Financial	NNP
J Balvin	NNP
J. K. Rowling	NNP
J.K. Rowling	NNP
J.P. Morgan	NNP
Jacinda Ardern	NNP
Jack Lemmon	NNP
Jack Ma	NNP
Jack Nicholson	NNP
Jackie Chan	NNP
Jacques Derrida	NNP
James Bond	NNP
James Brown	NNP
James Cagney	NNP
James Cameron	NNP
James Stewart	NNP
James Taylor	NNP
James Watt	NNP
Janet Yellen	NNP
Jared Leto	NNP
Jason Bourne	NNP
Jason Statham	NNP
Java SE	NNP
Javier Bardem	NNP
Jay Leno	NNP
JC Decaux	NNP
JC Penney	NNP
je ne sais quoi	NN:U
Jean-Jacques Rousseau	NNP
Jean-Paul Sartre	NNP
Jeepers Creepers	NNP
Jeff Bezos	NNP
Jelly Bean	NNP
Jelly Beans	NNP
Jelly Belly	NNP
Jen Psaki	NNP
Jennifer Aniston	NNP
Jennifer Lawrence	NNP
Jens Spahn	NNP
Jeon Jungkook	NNP
Jeremy Bentham	NNP
Jerome Powell	NNP
Jerry Lee Lewis	NNP
Jessica Alba	NNP
jeu d'esprit	NN
jeu d’esprit	NN
jeunesse dorée	NNS
jeux d'esprit	NNS
jeux d’esprit	NNS
jeux d'esprits	NNS
jeux d’esprits	NNS
Jill Biden	NNP
Jimi Hendrix	NNP
Jimmy Carter	NNP
Jimmy Page	NNP
Jio Platforms	NNP
JJ Keller	NNP
JK Rowling	NNP
Joan Crawford	NNP
Joaquin Phoenix	NNP
Joe Biden	NNP
Joe Robinette Biden	NNP
Johann Sebastian Bach	NNP
Johann Wolfgang von Goethe	NNP
Johannes Brahms	NNP
Johannes Gutenberg	NNP
Johannes Kepler	NNP
John Coltrane	NNP
John Deere	NNP
John Dewey	NNP
John Kerry	NNP
John Lennon	NNP
John Locke	NNP
John Milton	NNP
John Rawls	NNP
John Steinbeck	NNP
John Stuart Mill	NNP
John Travolta	NNP
John Wayne	NNP
Johnny Cash	NNP
Johnny Depp	NNP
Johns Hopkins	NNP
Johns Hopkins University	NNP
joie de vivre	NN:U
Jolly Rancher	NNP
Jonah Hill	NNP
Jonathan Swift	NNP
Joni Mitchell	NNP
Jorge Luis Borges	NNP
Josef Mengele	NNP
Joseph Conrad	NNP
Joseph R. Biden	NNP
Joseph Robinette Biden	NNP
José Mourinho	NNP
João Pessoa	NNP
JP Morgan	NNP
Jude Law	NNP
Judi Dench	NNP
Judy Garland	NNP
Juice WRLD	NNP
Juice Wrld	NNP
Jules Verne	NNP
Julia Roberts	NNP
Julian Assange	NNP
Julianne Moore	NNP
Julie Andrews	NNP
Jurassic Park	NNP
Jurassic World	NNP
Justin Bieber	NNP
Justin Timberlake	NNP
Jürgen Habermas	NNP
Jürgen Klopp	NNP
kaffir lime	NN:U
Kahala Street	NNP
Kaiser Permanante	NNP
Kama Sutra	NNP
Kanye West	NNP
Karim Benzema	NNP
Karl Lagerfeld	NNP
Karl Marx	NNP
Karl Popper	NNP
Kate Hudson	NNP
Kate Middleton	NNP
Kate Upton	NNP
Kate Winslet	NNP
Kathy Bates	NNP
Katniss Everdeen	NNP
KBC Bank	NNP
Keira Knightley	NNP
Keith Richards	NNP
Keith Urban	NNP
Kellogg's	NNP
Kellogg’s	NNP
Kenai Fjords	NNP
Kendale Lakes	NNP
Kendall Jenner	NNP
Keychain Logistics Corp	NNP
Khloé Kardashian	NNP
Kia Motors	NNP
Kia Optima	NNP
Kia XCeed	NNP
Kili Island	NNP
Kill Bill	NNP
Kim Basinger	NNP
Kim Jong-un	NNP
Kim Kardashian	NNP
Kimbal Musk	NNP
Kimono Labs	NNP
KLD Research	NNP
Kleiner Perkins	NNP
Knowledge Agency	NNP
Konrad Adenauer	NNP
Konrad Zuse	NNP
Kool & the Gang	NNP
Kool G Rap	NNP
Kotak Mahindra	NNP
Kourtney Kardashian	NNP
Kraft Foods	NNP
Kraft Heinz	NNP
Kroll Bond Ratings Agency	NNP
Krusty Krab	NNP
Ku Klux Klan	NNP
Kuala Lumpur	NNP
Kuril Islands	NNP
Kurt Cobain	NNP
Kurt Russell	NNP
Kurt Vonnegut	NNP
Kweichow Moutai	NNP
Kylie Jenner	NNP
Kylo Ren	NNP
L'Oréal	NNP
L’Oréal	NNP
La Crosse	NNP
La Gazzetta dello Sport	NNP
La Guardia	NNP
La Llorona	NNP
La Mirada	NNP
La Niña	NNP
La Paz	NNP
La Presse	NNP
La Repubblica	NNP
La Rochelle	NNP
La Réunion	NNP
La Tortuga	NNP
Labour Party	NNP
Lady Gaga	NNP
Laguna Niguel	NNP
Lamborghini Aventador	NNP
Lamborghini Huracán	NNP
Lamborghini Urus	NNP
Lan Na	NNP
Lana Del Rey	NNP
Land Rover	NNP
Land Rover Freelander	NNP
languagetool.com	NNP
languagetool.org	NNP
languagetoolplus.com	NNP
Laptev Sea	NNP
Larimer County	NNP
Larry Ellison	NNP
Larry King	NNP
Larry Page	NNP
LaRue County	NNP
Laurence Olivier	NNP
Le Figaro	NNP
Le Monde	NNP
League of Legends	NNP
Learn'd Astronomer	NNP
Learn’d Astronomer	NNP
Lebor Gabála Érenn	NNP
LeBron James	NNP
Legal Science Partners	NNP
Legend of Zelda	NNP
Legends of Tomorrow	NNP
Lehigh Acres	NNP
Lemony Snicket	NNP
Lending Club	NNP
Leo Tolstoy	NNP
Leonardo da Vinci	NNP
Leonardo DiCaprio	NNP
Les Misérables	NNP
Level One Technologies	NNP
Lewis Carroll	NNP
Lewis Hamilton	NNP
Lexus NX	NNP
LGBTQIA+	NNP
Li Li	NNP
Liam Neeson	NNP
Liberty Mutual Insurance Cos	NNP
Lil Nas X	NNP
Lil Wayne	NNP
Lilly Open Innovation Drug Discovery	NNP
Lindsey Graham	NNP
lingua franca	NN
Lingua Franca	NN
lingua francas	NNS
Lingua Francas	NNS
Linkin Park	NNP
Linus van Pelt	NNP
Lionel Messi	NNP
Lionel Richie	NNP
Liquid Robotics	NNP
Lithia Springs	NNP
Loch Ness	NNP
loci classici	NNS
loci standi	NNS
Lockheed Martin	NNP
locum tenens	NN
locum tenentes	NNS
locus classicus	NN
locus standi	NN
Lois Lane	NNP
Looney Tunes	NNP
Los Alamos	NNP
Los Algodones	NNP
Los Angeles Clippers	NNP
Los Angeles Lakers	NNP
Los Ebanos	NNP
Los Indios	NNP
Lotte Tower	NNP
Lotte World Tower	NNP
Lotus Notes	NNP
Lou Reed	NNP
Louis Armstrong	NNP
Louis Lumière	NNP
Louis Vuitton	NNP
Louise Brooks	NNP
LOVELAND Technologies	NNP
Lowe's	NNP
Lowe’s	NNP
Lucid Motors	NNP
Lucille Ball	NNP
Lucy van Pelt	NNP
Ludwig van Beethoven	NNP
Ludwig Wittgenstein	NNP
Lugaid mac Con Roí	NNP
Luke Skywalker	NNP
Luír Cheltchair	NNP
Lóegaire Búadach	NNP
Lóegaire the Victorious	NNP
Ma Huateng	NNP
Mac App Store	NNP
Mac Mini	NNP
MacBook Air	NNP
MacBook Pro	NNP
Machu Picchu	NNP
Madame Tussauds	NNP
Maddie McCann	NNP
Magna Carta	NNP
Magna Graecia	NNP
magna opera	NN
Magna Steyr	NNP
maison de tolérance	NN
Malayala Manorama	NNP
Malko Tŭrnovo	NNP
Malolos City	NNP
Maléku Jaíka	NNP
Manchester United	NNP
Mango Transit	NNP
#mano a mano	NNP
Manuel Neuer	NNP
Marcel Proust	NNP
Mardi Gras	NNP
Margaret Thatcher	NNP
Margot Robbie	NNP
Mariah Carey	NNP
Marie Curie	NNP
Marilyn Monroe	NNP
Marina del Rey	NNP
Mario Kart	NNP
Marjorie Greene	NNP
Marjorie Taylor Greene	NNP
Mark Rutte	NNP
Mark Twain	NNP
Mark Wahlberg	NNP
Markus Söder	NNP
Marlene Dietrich	NNP
Marlin & Associates	NNP
Marlin Alter and Associates	NNP
Marlon Brando	NNP
marron glacé	NN
marrons glacés	NNS
Martin Garrix	NNP
Martin Heidegger	NNP
Martin Luther	NNP
Martin Scorsese	NNP
Marvel Comics	NNP
Marvin Gaye	NNP
Mary Poppins	NNP
Mary Shelley	NNP
Matt Damon	NNP
Matthew McConaughey	NNP
Max Planck	NNP
Maye Musk	NNP
Mayne Coaches	NNP
Mayne Island	NNP
maître d'	NN
maître d'hôtel	NN
maître d’hôtel	NN
maîtres d'hôtel	NNS
maîtres d’hôtel	NNS
McDonald's	NNP
McDonald’s	NNP
McGraw Hill Financial	NNP
Megan Thee Stallion	NNP
Meghan Markle	NNP
Mein Kampf	NNP
Mel Gibson	NNP
#memento mori	NNP
Memphis Grizzlies	NNP
Menlo Park	NNP
mens rea	NN:U
Merle Haggard	NNP
Merrill Corp	NNP
Merrill Lynch	NNP
Meryl Streep	NNP
mgmt.	NN:U
Mia Farrow	NNP
Miami Dade	NNP
Miami Heat	NNP
Michael Caine	NNP
Michael Dell	NNP
Michael Jackson	NNP
Michael Schumacher	NNP
Michel Foucault	NNP
Michelle Pfeiffer	NNP
MicroBilt Corporation	NNP
Microsoft Dynamics	NNP
Microsoft Teams	NNP
Microsoft Windows Azure Marketplace	NNP
Miguel Alemán	NNP
Miguel de Cervantes	NNP
Mike Pence	NNP
Mike Pompeo	NNP
Mike Tyson	NNP
Mila Kunis	NNP
Miles Davis	NNP
Miley Cyrus	NNP
Milwaukee Bucks	NNP
Minden Hills	NNP
Minecraft Dungeons	NNP
Minnesota Timberwolves	NNP
mise en scène	NN
Miss Moneypenny	NNP
Mission Viejo	NNP
Mitch McConnell	NNP
Mitsubishi Galant	NNP
Moby Dick	NNP
Modern Family	NNP
Mohammed bin Salman	NNP
Mohorovičić discontinuity	NN:U
Mona Lisa	NNP
Monica Bellucci	NNP
Mont Blanc	NNP
Montreal Canadiens	NNP
Monty Python	NNP
Moody's	NNP
Moody’s	NNP
Moon Jae-in	NNP
Morgan Stanley	NNP
Mortal Kombat	NNP
mot juste	NN
Motorola Razr	NNP
mots justes	NNS
moules marinières	NNS
moules à la marinière	NNS
Moulin Rouge	NNP
Mount Gambier	NNP
Mount Rushmore	NNP
mouton enragé	NN
Mr. Robot	NNP
MS Dynamics	NNP
MSCI World	NNP
MSCI World Index	NNP
Muddy Waters	NNP
Mueang Chiang Rai	NNP
Munich Re	NNP
Musgrave Block	NNP
musique concrète	NN:U
mutatis mutandis	RB
ménages à trois	NNS
méthode champenoise	NN:U
Möller-Barlow disease	NN:U
Müllerian duct	NN
Müllerian ducts	NNS
Müllerian mimicry	NN:U
Nancy Pelosi	NNP
Narendra Modi	NNP
Natalie Portman	NNP
Nate Dogg	NNP
National Geographic	NNP
National Geographic Channel	NNP
National Geographic Kids	NNP
National Van Lines	NNP
Nationwide Mutual Insurance Company	NNP
Navi Mumbai	NNP
Naya Raipur	NNP
ne plus ultra	NN
Need for Speed	NNP
Negros Island	NNP
Neil Young	NNP
Nelson Bay	NNP
nemo iudex in causa sua	_multiword_
NERA Economic Consulting	NNP
New Braunfels	NNP
New Media Parents	NNP
New Orleans Pelicans	NNP
New York City Ballet	NNP
New York Knicks	NNP
New York Post	NNP
New York Stock Exchange	NNP
New York Times	NNP
New Yorker	NNP
New Yorkers	NNP
New Zealanders	NNP
News Corp	NNP
Next Step Living	NNP
Niccolò Machiavelli	NNP
Nicki Minaj	NNP
Nicky 	NNP
Nicole Kidman	NNP
Nicollet Mall	NNP
Nicolás Maduro	NNP
Nike Air	NNP
NIKE Air	NNP
Nikki Haley	NNP
Nikola Tesla	NNP
nil desperandum	UH
Nintendo Switch	NNP
Nintendo Wii	NNP
Nissan Altima	NNP
Nissan Rogue	NNP
Nissan Sentra	NNP
Niçoise salad	NN:U
No Man's Sky	NNP
No Man’s Sky	NNP
Noam Chomsky	NNP
noblesse oblige	NN:U
Node.js	NNP
nolens volens	RB
nolle prosequi	NN
nom de guerre	NN
nom de plume	NN
noms de plume	NNS
North American Van Lines	NNP
Northwell Health	NNP
Norwegian Air	NNP
noscitur a sociis	NN
nota bene	_multiword_
Notorious B.I.G.	NNP
Notting Hill	NNP
nouveau riche	NN
nouveaux riches	NNS
Noveda Technologies	NNP
novus actus interveniens	_multiword_
NTT Communications	NNP
Nuevo Laredo	NNP
Nuevo León	NNP
nuée ardente	NN
nuées ardentes	NNS
NXP Semiconductors	NNP
NY Times	NNP
Nye County	NNP
O Tannenbaum	NNP
O'Banion	NNP
O’Banion	NNP
O'Brien	NNP
O’Brien	NNP
O'Callaghan	NNP
O’Callaghan	NNP
O'Carroll	NNP
O’Carroll	NNP
O'Connell	NNP
O’Connell	NNP
O'Conner	NNP
O’Conner	NNP
O'Connor	NNP
O’Connor	NNP
O'Dell	NNP
O’Dell	NNP
O'Doneven	NNP
O’Doneven	NNP
O'Donnell	NNP
O’Donnell	NNP
O'Donoghue	NNP
O’Donoghue	NNP
O'Donovan	NNP
O’Donovan	NNP
O'Driscoll	NNP
O’Driscoll	NNP
O'Gowan	NNP
O’Gowan	NNP
O'Grady	NNP
O’Grady	NNP
O'Hanlon	NNP
O’Hanlon	NNP
O'Hara	NNP
O’Hara	NNP
O'Keefe	NNP
O’Keefe	NNP
O'Kelly	NNP
O’Kelly	NNP
O'Mahony	NNP
O’Mahony	NNP
O'Malley	NNP
O’Malley	NNP
O'Meara	NNP
O’Meara	NNP
O'Neil	NNP
O’Neil	NNP
O'Neill	NNP
O’Neill	NNP
O'Reilly	NNP
O’Reilly	NNP
O'Rourke	NNP
O’Rourke	NNP
O'Shee	NNP
O’Shee	NNP
O'Toole	NNP
O’Toole	NNP
obiter dicta	NNS
obiter dictum	NN
objet d'art	NN
objet d’art	NN
objet trouvé	NN
objets d'art	NNS
objets d’art	NNS
objets trouvés	NNS
Oculus Quest	NNP
Oculus Rift	NNP
Oculus Rift S	NNP
Oculus VR	NNP
Office 365	NNP
Oklahoma City Thunder	NNP
Oliver Wyman	NNP
Olivia Wilde	NNP
on dit	NN
on dits	NNS
Onur Air	NNP
onus probandi	NN:U
Open Data Nation	NNP
opéra bouffe	NN
opéra comique	NN
opéras bouffes	NNS
opéras comiques	NNS
Orlando Magic	NNP
Orlin Research	NNP
Orphan Black	NNP
Orson Welles	NNP
Oskar Schindler	NNP
Otay Mesa	NNP
OTC Markets	NNP
Otis Redding	NNP
Otoe County	NNP
Otto von Bismarck	NNP
Ouachita Mountains	NNP
Oversight Systems	NNP
Overture Technologies	NNP
Oxford Dictionary	NNP
Ozzy Osbourne	NNP
P. Diddy	NNP
Pablo Escobar	NNP
Pablo Picasso	NNP
pacta sunt servanda	_multiword_
Pago Pago	NNP
Palantir Technologies	NNP
Palme d'or	NNP
Palme d’or	NNP
Palme d'Or	NNP
Palme d’Or	NNP
Palo Alto	NNP
Palo Cedro	NNP
Palo Pinto	NNP
Palos Verdes	NNP
Pamela Anderson	NNP
Papua Beach	NNP
