#English multiwords file used for EnglishHybridDisambiguator
# Use this file only for multi-word terms that have these properties: 1) disambiguation is not necessary. 2) the term has only one part of speech (NOT sotto voce, which is RB and JJ).
# Do not add the term to spelling.txt, because spelling is ignored automatically for each term in this file.
# Terms are case-sensitive, but for each term, POS is added and spelling is ignored for (1) all uppercase text and (2) for text that has a capital letter for the first character of the first word.
All Saints Sisters of the Poor	NNP # www.allsaintssistersofthepoor.org.uk
xanthan gum	NN
xanthan gums	NNS
en suite	JJ
Jeffree Star	NNP
Welwyn Garden	NNP
Tesco Clubcard	NNP
Mato Grosso	NNP
Minas Gerais	NNP
Mato Grosso do Sul	NNP
Rio Grande do Sul	NNP
Rio Grande do Norte	NNP
Distrito Federal	NNP
Belo Horizonte	NNP
Porto Alegre	NNP
São Luís	NNP
São Gonçalo	NNP
Duque de Caxias	NNP
Campo Grande	NNP
São Bernardo do Campo	NNP
Nova Iguaçu	NNP
João Pessoa	NNP
São José dos Campos	NNP
Santo André	NNP
Ribeirão Preto	NNP
Jaboatão dos Guararapes	NNP
Feira de Santana	NNP
Aparecida de Goiânia	NNP
Juiz de Fora	NNP
Porto Velho	NNP
Belford Roxo	NNP
Caxias do Sul	NNP
Campos dos Goytacazes	NNP
Vila Velha	NNP
São João de Meriti	NNP
São José do Rio Preto	NNP
Mogi das Cruzes	NNP
Campina Grande	NNP
Montes Claros	NNP
Rio Branco	NNP
São Vicente	NNP
Ponta Grossa	NNP
Vitória da Conquista	NNP
Ribeirão das Neves	NNP
Praia Grande	NNP
São José dos Pinhais	NNP
Vesey Street	NNP
Hudson Street	NNP
Parque Metropolitano	NNP
Viña del Mar	NNP
Las Condes	NNP
El Bosque	NNP
Cerro Navia	NNP
La Granja	NNP
Estación Central	NNP
Los Ángeles	NNP
Lo Espejo	NNP
Pedro Aguirre Cerda	NNP
La Florida	NNP
San Joaquín	NNP
Best Buy	NNP
Estadio Nacional	NNP
Avenue de la Grande Armée	NNP
Avenue Marceau	NNP
Grande Armée	NNP
Porte Maillot	NNP
Avenue des Champs-Élysées	NNP
Lake Starnberg	NNP
Krispy Kreme	NNP
Krispy Kreme Doughnuts	NNP
JAB Holding	NNP
Lake Piru	NNP
Principia Mathematica	NNP
Yolanda Be Cool	NNP
Giga Nevada	NNP
Giga New York	NNP
Giga Shanghai	NNP
Giga Berlin	NNP
Honda CR-V	NNP
Hans Zimmer	NNP
Isuzu Trooper	NNP
Jack Ma	NNP
Estádio Olímpico	NNP
Fountain Valley	NNP
BoJack Horseman	NNP
American Express Travelers Cheque	NNP
American Express Travelers Cheques	NNPS
American Express Traveler's Cheque	NNP
American Express Traveler's Cheques	NNPS
Empire State Index	NNP
Empire State Realty Trust	NNP
Jio Platforms	NNP
Itaú Unibanco	NNP
Banco Itaú Unibanco	NNP
Banco Bradesco	NNP
Banco do Brasil	NNP
Caixa Econômica Federal	NNP
Companhia Siderúrgica Nacional	NNP
América Móvil	NNP
Grupo México	NNP
Fibra Uno	NNP
Grupo Carso	NNP
AB InBev	NNP
Ahold Delhaize	NNP
Louis Dreyfus	NNP
Rio Tinto	NNP
Ars Technica	NNP
GQ Magazine	NNP
Facebook Ads	NNP
Google Ads	NNP
LinkedIn Ads	NNP
Getty Images	NNP
ITV News	NNP
Belle Chasse	NNP
Sequoia Capital	NNP
Khosla Ventures	NNP
RingCentral Glip	NNP
RingCentral Coliseum	NNP
Paris Agreement	NNP
Kuan Hua	NNP
Mario Kart	NNP
Super Mario Kart	NNP
Donkey Kong	NNP
Rosetta Stone	NNP
