# Words that have two valid spellings (refer to https://github.com/languagetool-org/languagetool/issues/834). Used by WordCoherencyRule.
# For words that can have both initial uppercase and initial lowercase (romanise/Romanise), refer to https://forum.languagetool.org/t/coherency-rules-for-words-such-as-christianize-and-balkanize/3505/2
# This file must be encoded in UTF-8.
# NOTE: 
# 1) The comparison between two variants is based on the word's base form 
#    (Hence, variants which have the same base form such as 'cancelled' and 'canceled' are [currently] not detected)
# 2) to find fullforms those forms may need to be added to added.txt
# absinth;absinthe: https://wikidiff.com/absinth/absinthe
# gram;gramme. https://en.wikipedia.org/wiki/Gram_flour
# meter;metre: meter is an instrument and a unit of measurement.
# prise;prize: in BrE, both spellings are possible for the verb, but the noun is prize.
# whiskey;whisky. https://www.collinsdictionary.com/dictionary/english/whiskey
glamorisation;glamorization
glamorise;glamorize
globalisation;globalization
globalise;globalize
globaliser;globalizer
gluttonise;gluttonize
Gnosticise;Gnosticize
Gnosticiser;Gnosticizer
gorgonise;gorgonize
Gothicise;Gothicize
Gothiciser;Gothicizer
gourmandise;gourmandize
grammaticalise;grammaticalize
grangerisation;grangerization
grangerise;grangerize
grangeriser;grangerizer
graphitisable;graphitizable
graphitisation;graphitization
graphitise;graphitize
grecianise;grecianize
greisenisation;greisenization
hagadic;haggadic
Hansardise;Hansardize
harmonisable;harmonizable
harmonisation;harmonization
harmonise;harmonize
harmoniser;harmonizer
hectogram;hectogramme
hegemonise;hegemonize
Hellenisation;Hellenization
Hellenise;Hellenize
Helleniser;Hellenizer
heparinise;heparinize
hepatisation;hepatization
herborise;herborize
heroicise;heroicize
heroise;heroize
heterodimerise;heterodimerize
hexametrise;hexametrize
hierarchise;hierarchize
Hinduise;Hinduize
Hispanicisation;Hispanicization
Hispanicise;Hispanicize
historicise;historicize
hominisation;hominization
hominise;hominize
homogenisation;homogenization
homogenise;homogenize
homogeniser;homogenizer
homogenous;homogeneous
homologise;homologize
hospitalisation;hospitalization
hospitalise;hospitalize
humanisation;humanization
humanise;humanize
hyalinisation;hyalinization
hyalinise;hyalinize
hybridisable;hybridizable
hybridisation;hybridization
hybridise;hybridize
hybridiser;hybridizer
hydrogenisation;hydrogenization
hydrogenise;hydrogenize
hyperbolise;hyperbolize
hyperpolarise;hyperpolarize
hypersensitise;hypersensitize
hyphenisation;hyphenization
hypnotisability;hypnotizability
hypnotisable;hypnotizable
hypnotisation;hypnotization
hypnotise;hypnotize
hypnotiser;hypnotizer
hyposensitisation;hyposensitization
hyposensitise;hyposensitize
hypostatisation;hypostatization
hypostatise;hypostatize
hypothesise;hypothesize
iconise;iconize
idealisation;idealization
idealise;idealize
idealiser;idealizer
ideologise;ideologize
idolatrise;idolatrize
idolatriser;idolatrizer
idolisation;idolization
idolise;idolize
idoliser;idolizer
illegalise;illegalize
illiberalise;illiberalize
immanentise;immanentize
immaterialise;immaterialize
immiserise;immiserize
immobilisable;immobilizable
immobilisation;immobilization
immobilise;immobilize
immobiliser;immobilizer
immortalisation;immortalization
immortalise;immortalize
immunisation;immunization
immunise;immunize
immuniser;immunizer
impacter;impactor
imperialise;imperialize
impersonalisation;impersonalization
impersonalise;impersonalize
imposter;impostor
