#French multiwords file used for chunking
#IMPORTANT: always use only straight (typewriter) apostrophes, not typographical apostrophes 
#separatorRegExp=[\t;]
gaming zone	N f s
Gaming Zone	N f s
bon allez	A
un peu vite fait; A
Royal Warrant	N m s
Royal Warrants	N m p
STI TAF	Z e sp
Kiff No Beat	Z e sp
Super Bowl	Z e sp
Racaille Blues	Z e sp
Violon Dingue	Z e sp
La Bagnole	Z e sp
Gen Con	Z e sp
George Braque	N m sp
copier/coller	N m sp
Minas Gerais	Z e sp
à contre-courant	A
à contre courant	A
à rebrousse-poil	A
en face	A
love hotel	N m s
de jure	A
de facto	A
Palma de Mallorca	Z f s
Mata Hari	Z f s
trait d'union	N m s
traits d'union	N m p
Trinity College	Z m s
d'habitude	A
Marvel Cinematic Universe	Z m s
à l'occasion	A
aux premiers abords	A
pour pas très cher	A
pour pas trop cher	A
en tout cas	A
qualité brouillon	N f s
ici bas	A
par définition	A
transformateur basse fréquence	N m s
transformateurs basse fréquence	N m p
plantes concasseur	N f p
plante concasseur	N f s
business email compromise	N m sp
Business Email Compromise	N m sp
boy band	N m s
boy bands	N m p
post mortem	A
Ruby on Rails	Z e sp
fonctionnalité enceinte	N f s
fonctionnalités enceinte	N f p
ampoule graisseur	N f s
ampoules graisseur	N f p
vitesse grand V	N f s
Original Motion Picture Soundtrack	N e sp
de surcroît	A
sinistre auto	N m s
sinistres auto	N m p
raccourci clavier	N m s
raccourcis clavier	N m p
bien sûr	A
par contre	A
à la fois	A
tout au moins	A
tout du moins	A
tout au plus	A
tout du plus	A
à peine	A
à nouveau	A
sans doute	A
sans cesse	A
en même temps	A
en son temps	A
à dire vrai	A
à vrai dire	A
chaud boulette	J e sp
#état-nation	N m s
#états-nations	N m p
état nation	N m s
états nations	N m p
tabula rasa	N e sp
coûte que coûte	A
fait main	J m s
faits main	J m p
faite main	J f s
faites main	J f p
d'ailleurs	A
tout de suite	A
par mégarde	A
Pôle Entreprise	N m s
pôle entreprise	N m s
en règle générale	A
côte à côte	A
en rouge	A
orge mondé	N f s
orge perlé	N f s
National Football League	Z f s
Premier League	Z f s
Royal Shakespeare Company	Z f s
empreinte carbone	N f s
empreintes carbone	N f p
Pearl Harbor	Z m s
National Geographic	Z m s
Golden Globes	Z m p
Golden Globe Awards	Z m p
Fox Film	Z f s
Fox Film Corporation	Z f s
tortue luth	N f s
tortues luth	N f p
Pizza Hut	Z e sp
Black Lives Matter	Z e sp
black lives matter	Z e sp
in fine	A
Points Seuil	Z e sp
Virgin Mobile USA	Z e sp
Final Fantasy	Z e sp
