#French multiwords file used for chunking
#IMPORTANT: always use only straight (typewriter) apostrophes, not typographical apostrophes 
#separatorRegExp=[\t;]
Le Leslay;Z m s
Le Lesme;Z m s
Le Leuy;Z m s
Le Lindois;Z m s
Le Liège;Z m s
Le Lonzac;Z m s
Le Loreur;Z m s
Le Lorey;Z m s
Le Loroux;Z m s
Le Lorrain;Z m s
Le Louroux;Z m s
Le Louverot;Z m s
Le Luart;Z m s
Le Luc;Z m s
Le Lude;Z m s
Le Luhier;Z m s
Le Luot;Z m s
Le Mage;Z m s
Le Magnoray;Z m s
Le Magny;Z m s
Le Maisnil;Z m s
Le Malesherbois;Z m s
Le Manoir;Z m s
Le Mans;Z m s
Le Marigot;Z m s
Le Marin;Z m s
Le Martinet;Z m s
Le Mas;Z m s
Le Mazeau;Z m s
Le Mazis;Z m s
Le Meillard;Z m s
Le Meix;Z m s
Le Menoux;Z m s
Le Mené;Z m s
Le Merlerault;Z m s
Le Merzer;Z m s
Le Mesge;Z m s
Le Mesnil;Z m s
Le Mesnillard;Z m s
Le Meux;Z m s
Le Miroir;Z m s
Le Monastère;Z m s
Le Monestier;Z m s
Le Mont;Z m s
Le Montat;Z m s
Le Monteil;Z m s
Le Montellier;Z m s
Le Montet;Z m s
Le Montsaugeonnais;Z m s
Le Moule;Z m s
Le Moustoir;Z m s
Le Moutaret;Z m s
Le Moutherot;Z m s
Le Mung;Z m s
Le Muy;Z m s
Le Mémont;Z m s
Le Ménil;Z m s
Le Mériot;Z m s
Le Mérévillois;Z m s
Le Nayrac;Z m s
Le Neubourg;Z m s
Le Neufbourg;Z m s
Le Neufour;Z m s
Le Nizan;Z m s
Le Noyer;Z m s
Le Pailly;Z m s
Le Palais;Z m s
Le Pallet;Z m s
Le Parc;Z m s
Le Parcq;Z m s
Le Pas;Z m s
Le Pasquier;Z m s
Le Passage;Z m s
Le Pecq;Z m s
Le Pellerin;Z m s
Le Perchay;Z m s
Le Perrey;Z m s
Le Perrier;Z m s
Le Perron;Z m s
Le Perréon;Z m s
Le Perthus;Z m s
Le Pertre;Z m s
Le Pertuis;Z m s
Le Pescher;Z m s
Le Peyrat;Z m s
Le Pin;Z m s
Le Pizou;Z m s
Le Pla;Z m s
Le Plagnal;Z m s
Le Plan;Z m s
Le Planois;Z m s
Le Planquay;Z m s
Le Plantay;Z m s
Le Plantis;Z m s
Le Ployron;Z m s
Le Poinçonnet;Z m s
Le Poislay;Z m s
Le Pompidou;Z m s
Le Ponchel;Z m s
Le Pondy;Z m s
Le Pontet;Z m s
Le Porge;Z m s
Le Port;Z m s
Le Portel;Z m s
Le Pouget;Z m s
Le Pouliguen;Z m s
Le Pout;Z m s
Le Pouzin;Z m s
Le Poët;Z m s
Le Pradal;Z m s
Le Pradet;Z m s
Le Prêcheur;Z m s
Le Puch;Z m s
Le Puech;Z m s
Le Puid;Z m s
Le Puley;Z m s
Le Puy;Z m s
Le Pègue;Z m s
Le Pêchereau;Z m s
Le Quartier;Z m s
Le Quesne;Z m s
Le Quesnel;Z m s
Le Quesnoy;Z m s
Le Quillio;Z m s
Le Quiou;Z m s
Le Raincy;Z m s
Le Renouard;Z m s
Le Reposoir;Z m s
Le Retail;Z m s
Le Rheu;Z m s
Le Rialet;Z m s
Le Ribay;Z m s
Le Riols;Z m s
Le Robert;Z m s
Le Roc;Z m s
Le Roulier;Z m s
Le Rouret;Z m s
Le Roux;Z m s
Le Rove;Z m s
Le Rozel;Z m s
Le Rozier;Z m s
Le Russey;Z m s
Le Saint;Z m s
Le Saix;Z m s
Le Sappey;Z m s
Le Sars;Z m s
Le Saulchoy;Z m s
Le Saulcy;Z m s
Le Sen;Z m s
Le Sequestre;Z m s
Le Seure;Z m s
Le Soler;Z m s
Le Souich;Z m s
Le Soulié;Z m s
Le Sourd;Z m s
Le Sourn;Z m s
Le Subdray;Z m s
Le Syndicat;Z m s
Le Ségur;Z m s
Le Tablier;Z m s
Le Tallud;Z m s
Le Tampon;Z m s
Le Tanu;Z m s
Le Tartre;Z m s
Le Tech;Z m s
Le Teich;Z m s
Le Teil;Z m s
Le Teilleul;Z m s
Le Temple;Z m s
Le Theil;Z m s
Le Thieulin;Z m s
Le Thil;Z m s
Le Thillay;Z m s
Le Thillot;Z m s
Le Tholonet;Z m s
Le Tholy;Z m s
Le Thor;Z m s
Le Thoronet;Z m s
Le Thou;Z m s
Le Thour;Z m s
Le Thuel;Z m s
Le Thuit;Z m s
Le Thuit de l'Oison;Z m s
Le Tiercent;Z m s
Le Tignet;Z m s
Le Tilleul;Z m s
Le Titre;Z m s
Le Torpt;Z m s
Le Torquesne;Z m s
Le Tourne;Z m s
Le Touvet;Z m s
Le Trait;Z m s
Le Tranger;Z m s
Le Translay;Z m s
Le Transloy;Z m s
Le Tremblois;Z m s
Le Triadou;Z m s
Le Trioulou;Z m s
Le Tronchet;Z m s
Le Troncq;Z m s
Le Tronquay;Z m s
Le Truel;Z m s
Le Tréhou;Z m s
Le Tréport;Z m s
Le Trévoux;Z m s
Le Tuzan;Z m s
Le Tâtre;Z m s
Le Val;Z m s
Le Val d'Hazey;Z m s
Le Val d'Ocre;Z m s
Le Valtin;Z m s
Le Vast;Z m s
Le Vauclin;Z m s
Le Vaudioux;Z m s
Le Vaudoué;Z m s
Le Vaudreuil;Z m s
Le Vaulmier;Z m s
Le Vaumain;Z m s
Le Vauroux;Z m s
Le Verdier;Z m s
Le Verger;Z m s
Le Verguier;Z m s
Le Vermont;Z m s
Le Verneil;Z m s
Le Vernet;Z m s
Le Vernois;Z m s
Le Vernoy;Z m s
Le Versoud;Z m s
Le Vert;Z m s
Le Veurdre;Z m s
Le Vey;Z m s
Le Vibal;Z m s
Le Vicel;Z m s
Le Vigan;Z m s
Le Vigean;Z m s
Le Vigeant;Z m s
Le Vigen;Z m s
Le Vignau;Z m s
Le Vilhain;Z m s
Le Villars;Z m s
Le Villey;Z m s
Le Vintrou;Z m s
Le Vivier;Z m s
Le Vésinet;Z m s
Le Vézier;Z m s
Le Wast;Z m s
Les Ableuvenettes;Z m p
Les Abrets en Dauphiné;Z m p
Les Abymes;Z m p
Les Achards;Z m p
Les Adjots;Z m p
Les Adrets;Z m p
Les Ageux;Z m p
Les Aires;Z m p
Les Albres;Z m p
Les Alliés;Z m p
Les Allues;Z m p
Les Andelys;Z m p
Les Angles;Z m p
Les Arcs;Z m p
Les Ardillats;Z m p
Les Arques;Z m p
Les Arsures;Z m p
Les Aspres;Z m p
Les Assions;Z m p
Les Attaques;Z m p
Les Aulneaux;Z m p
Les Autels;Z m p
Les Authieux;Z m p
Les Auxons;Z m p
Les Avirons;Z m p
Les Aynans;Z m p
Les Ayvelles;Z m p
Les Barils;Z m p
Les Baroches;Z m p
Les Barthes;Z m p
Les Belleville;Z m p
Les Bessons;Z m p
Les Billanges;Z m p
Les Billaux;Z m p
Les Bizots;Z m p
Les Bois d'Anjou;Z m p
Les Bondons;Z m p
Les Bordes;Z m p
Les Bottereaux;Z m p
Les Bouchoux;Z m p
Les Brouzils;Z m p
Les Brulais;Z m p
Les Brunels;Z m p
Les Bréseux;Z m p
Les Bréviaires;Z m p
Les Bâties;Z m p
Les Cabannes;Z m p
Les Cammazes;Z m p
Les Cars;Z m p
Les Cassés;Z m p
Les Cerqueux;Z m p
Les Chalesmes;Z m p
Les Champeaux;Z m p
Les Chapelles;Z m p
Les Charmontois;Z m p
Les Choux;Z m p
Les Châtelets;Z m p
Les Châteliers;Z m p
Les Chères;Z m p
Les Clefs;Z m p
Les Cluses;Z m p
Les Clérimois;Z m p
Les Combes;Z m p
Les Coteaux Périgourdins;Z m p
Les Cresnays;Z m p
Les Crozets;Z m p
Les Croûtes;Z m p
Les Damps;Z m p
Les Deux Alpes;Z m p
Les Déserts;Z m p
Les Epesses;Z m p
Les Essards;Z m p
Les Essarts;Z m p
Les Esseintes;Z m p
Les Estables;Z m p
Les Eyzies;Z m p
Les Farges;Z m p
Les Ferres;Z m p
Les Fessey;Z m p
Les Fins;Z m p
Les Fontenelles;Z m p
Les Forges;Z m p
Les Fosses;Z m p
Les Fougerêts;Z m p
Les Fourgs;Z m p
Les Garennes sur Loire;Z m p
Les Genettes;Z m p
Les Gets;Z m p
Les Gonds;Z m p
Les Goulles;Z m p
Les Gours;Z m p
Les Granges;Z m p
Les Grangettes;Z m p
Les Gras;Z m p
Les Groseillers;Z m p
Les Guerreaux;Z m p
Les Haies;Z m p
Les Halles;Z m p
Les Hauts de Forterre;Z m p
Les Hayes;Z m p
Les Hays;Z m p
Les Herbiers;Z m p
Les Hermaux;Z m p
Les Hermites;Z m p
Les Hogues;Z m p
Les Houches;Z m p
Les Iffs;Z m p
Les Ifs;Z m p
Les Ilhes;Z m p
Les Islettes;Z m p
Les Issards;Z m p
Les Junies;Z m p
Les Laubies;Z m p
Les Lilas;Z m p
Les Loges;Z m p
Les Lèches;Z m p
Les Mages;Z m p
Les Magny;Z m p
Les Maillys;Z m p
Les Mars;Z m p
Les Martys;Z m p
Les Marêts;Z m p
Les Matelles;Z m p
Les Mathes;Z m p
Les Mayons;Z m p
Les Mazures;Z m p
Les Menus;Z m p
Les Mesneux;Z m p
Les Mesnuls;Z m p
Les Molières;Z m p
Les Mollettes;Z m p
Les Monceaux;Z m p
Les Monthairons;Z m p
Les Montils;Z m p
Les Monts d'Andaine;Z m p
Les Monts d'Aunay;Z m p
Les Monts du Roumois;Z m p
Les Moussières;Z m p
Les Mujouls;Z m p
Les Mureaux;Z m p
Les Mées;Z m p
Les Métairies;Z m p
Les Nans;Z m p
Les Neyrolles;Z m p
Les Nouillers;Z m p
Les Noës;Z m p
Les Omergues;Z m p
Les Ormes;Z m p
Les Orres;Z m p
Les Paroches;Z m p
Les Pechs du Vers;Z m p
Les Peintures;Z m p
Les Pieux;Z m p
Les Pilles;Z m p
Les Pineaux;Z m p
Les Pins;Z m p
Les Pinthières;Z m p
Les Places;Z m p
Les Plans;Z m p
Les Plantiers;Z m p
Les Pontets;Z m p
Les Portes du Coglais;Z m p
Les Poulières;Z m p
Les Pradeaux;Z m p
Les Premiers Sapins;Z m p
Les Préaux;Z m p
Les Prés;Z m p
Les Pujols;Z m p
Les Rairies;Z m p
Les Repôts;Z m p
Les Ressuintes;Z m p
Les Riceys;Z m p
Les Rives;Z m p
Les Roises;Z m p
Les Rousses;Z m p
Les Salces;Z m p
Les Salelles;Z m p
Les Salles;Z m p
Les Sauvages;Z m p
Les Septvallons;Z m p
Les Sièges;Z m p
Les Sorinières;Z m p
Les Ternes;Z m p
Les Thons;Z m p
Les Thuiles;Z m p
Les Tonils;Z m p
Les Touches;Z m p
Les Tourreilles;Z m p
Les Tourrettes;Z m p
Les Trois Lacs;Z m p
Les Ulis;Z m p
Les Ulmes;Z m p
Les Vallois;Z m p
Les Vallées de la Vanne;Z m p
Les Vans;Z m p
Les Vastres;Z m p
Les Ventes;Z m p
Les Vigneaux;Z m p
Les Villages Vovéens;Z m p
Les Villedieu;Z m p
Les Villettes;Z m p
Les Voivres;Z m p
Les Yveteaux;Z m p
Les Échelles;Z m p
Les Écorces;Z m p
Les Écrennes;Z m p
Les Éduts;Z m p
Les Éparges;Z m p
Les Éparres;Z m p
Les Étangs;Z m p
Les Étilleux;Z m p
Loir en Vallée;Z e sp
Longny les Villages;Z e sp
Los Masos;Z e sp
Maen Roch;Z e sp
Mareuil en Périgord;Z e sp
Massegros Causses Gorges;Z e sp
Mont Lozère et Goulet;Z e sp
Montrichard Val de Cher;Z e sp
Moyon Villages;Z e sp
Mézidon Vallée d'Auge;Z e sp
Nassandres sur Risle;Z e sp
Neussargues en Pinatelle;Z e sp
Nivigne et Suran;Z e sp
Noues de Sienne;Z e sp
Ombrée d'Anjou;Z e sp
Orval sur Sienne;Z e sp
Orée d'Anjou;Z e sp
Oucques La Nouvelle;Z e sp
Palmas d'Aveyron;Z e sp
Parves et Nattages;Z e sp
Passais Villages;Z e sp
Pays de Belvès;Z e sp
Perche en Nocé;Z e sp
Peyre en Aubrac;Z e sp
Plateau d'Hauteville;Z e sp
Ponts sur Seulles;Z e sp
Porte des Pierres Dorées;Z e sp
Porte du Ried;Z e sp
Remilly Les Marais;Z e sp
Rives Dervoises;Z e sp
Rives d'Andaine;Z e sp
Rives de l'Yon;Z e sp
Romagny Fontenay;Z e sp
Réaux sur Trèfle;Z e sp
Rémalard en Perche;Z e sp
Sablons sur Huisne;Z e sp
Saint Antoine l'Abbaye;Z e sp
Saint François Longchamp;Z e sp
Saint Geniez d'Olt et d'Aubrac;Z e sp
Saint Martin de l'If;Z e sp
Saint Maurice Étusson;Z e sp
Saint Privat en Périgord;Z e sp
Septmoncel les Molunes;Z e sp
Solaure en Diois;Z e sp
Sorges et Ligueux en Périgord;Z e sp
Souleuvre en Bocage;Z e sp
Sévérac d'Aveyron;Z e sp
Terres de Bord;Z e sp
Terres de Druance;Z e sp
Thue et Mue;Z e sp
Tourouvre au Perche;Z e sp
Tuffé Val de la Chéronne;Z e sp
Val Suran;Z m s
Val d'Anast;Z m s
Val d'Arcomie;Z m s
Val d'Arry;Z m s
Val d'Issoire;Z m s
Val d'Oingt;Z m s
Val d'Orger;Z m s
Val d'Oronaye;Z m s
Val d'Oust;Z m s
Val de Briey;Z m s
Val de Chaise;Z m s
Val de Drôme;Z m s
Val de Lambronne;Z m s
Val de Livre;Z m s
Val de Louyre et Caudeau;Z m s
Val de Virvée;Z m s
Val des Vignes;Z m s
Val en Vignes;Z m s
Vallées en Champagne;Z e sp
Valzin en Petite Montagne;Z e sp
Vaux d'Amognes;Z e sp
Ventalon en Cévennes;Z e sp
Verneuil d'Avre et d'Iton;Z e sp
Villages du Lac de Paladru;Z e sp
Vire Normandie;Z e sp
Vrigne aux Bois;Z e sp
Wingersheim les Quatre Bans;Z e sp
# Multiword FR cities with hyphens
Athis-Val de Rouvre;Z e sp
Aubigny-Les Clouzeaux;Z e sp
Autrans-Méaudre en Vercors;Z e sp
Ballon-Saint Mars;Z e sp
Beaumont Saint-Cyr;Z e sp
Bellefont-La Rauze;Z e sp
Blandouet-Saint Jean;Z e sp
Boisné-La Tude;Z e sp
Castelnau Montratier-Sainte Alauzie;Z e sp
Cour-Maugis sur Huisne;Z e sp
Coux et Bigaroque-Mouzens;Z e sp
Cubjac-Auvézère-Val d'Ans;Z e sp
Dhuys et Morin-en-Brie;Z e sp
Ducey-Les Chéris;Z e sp
Epagny Metz-Tessy;Z e sp
Fragnes-La Loyère;Z e sp
Gonneville-Le Theil;Z e sp
Grande-Rivière Château;Z e sp
Ingrandes-Le Fresne sur Loire;Z e sp
Jugon-les-Lacs - Commune nouvelle;Z e sp
La Balme-de-Sillingy;Z f s
La Balme-de-Thuy;Z f s
La Balme-les-Grottes;Z f s
La Barre-de-Monts;Z f s
La Barre-de-Semilly;Z f s
La Barthe-de-Neste;Z f s
La Basse-Vaivre;Z f s
La Bastide-Clairence;Z f s
La Bastide-Pradines;Z f s
La Bastide-Puylaurent;Z f s
La Bastide-Solages;Z f s
La Bastide-d'Engras;Z f s
La Bastide-de-Besplas;Z f s
La Bastide-de-Bousignac;Z f s
La Bastide-de-Lordat;Z f s
La Bastide-de-Sérou;Z f s
La Bastide-des-Jourdans;Z f s
La Bastide-du-Salat;Z f s
La Bastide-sur-l'Hers;Z f s
La Baule-Escoublac;Z f s
La Baume-Cornillane;Z f s
La Baume-d'Hostun;Z f s
La Baume-de-Transit;Z f s
La Bazoche-Gouet;Z f s
La Bazoge-Montpinçon;Z f s
La Bazouge-de-Chemeré;Z f s
La Bazouge-des-Alleux;Z f s
La Bazouge-du-Désert;Z f s
La Bernerie-en-Retz;Z f s
La Besseyre-Saint-Mary;Z f s
La Boissière-de-Montaigu;Z f s
La Boissière-des-Landes;Z f s
La Boissière-du-Doré;Z f s
La Boissière-en-Gâtine;Z f s
La Boissière-École;Z f s
La Bollène-Vésubie;Z f s
La Bonneville-sur-Iton;Z f s
La Bosse-de-Bretagne;Z f s
La Bourdinière-Saint-Loup;Z f s
La Breille-les-Pins;Z f s
La Bretonnière-la-Claye;Z f s
La Brosse-Montceaux;Z f s
La Bruère-sur-Loir;Z f s
La Brée-les-Bains;Z f s
La Bussière-sur-Ouche;Z f s
La Bâtie-Montgascon;Z f s
La Bâtie-Montsaléon;Z f s
La Bâtie-Neuve;Z f s
La Bâtie-Rolland;Z f s
La Bâtie-Vieille;Z f s
La Bâtie-des-Fonds;Z f s
La Bégude-de-Mazenc;Z f s
La Bénisson-Dieu;Z f s
La Cadière-d'Azur;Z f s
La Cadière-et-Cambo;Z f s
La Caillère-Saint-Hilaire;Z f s
La Capelle-Balaguier;Z f s
La Capelle-Bleys;Z f s
La Capelle-Bonance;Z f s
La Capelle-et-Masmolène;Z f s
La Capelle-lès-Boulogne;Z f s
La Celle-Condé;Z f s
La Celle-Dunoise;Z f s
La Celle-Guenand;Z f s
La Celle-Saint-Avant;Z f s
La Celle-Saint-Cloud;Z f s
La Celle-Saint-Cyr;Z f s
La Celle-en-Morvan;Z f s
La Celle-les-Bordes;Z f s
La Celle-sous-Chantemerle;Z f s
La Celle-sous-Gouzon;Z f s
La Celle-sur-Loire;Z f s
La Celle-sur-Morin;Z f s
La Celle-sur-Nièvre;Z f s
La Chaise-Baudouin;Z f s
La Chaise-Dieu;Z f s
La Chaize-Giraud;Z f s
La Chaize-le-Vicomte;Z f s
La Chapelle-Agnon;Z f s
La Chapelle-Anthenaise;Z f s
La Chapelle-Aubareil;Z f s
La Chapelle-Baloue;Z f s
La Chapelle-Bayvel;Z f s
La Chapelle-Bertin;Z f s
La Chapelle-Bertrand;Z f s
La Chapelle-Biche;Z f s
La Chapelle-Blanche;Z f s
La Chapelle-Blanche-Saint-Martin;Z f s
La Chapelle-Bouëxic;Z f s
La Chapelle-Bâton;Z f s
La Chapelle-Chaussée;Z f s
La Chapelle-Craonnaise;Z f s
La Chapelle-Cécelin;Z f s
La Chapelle-Enchérie;Z f s
La Chapelle-Erbrée;Z f s
La Chapelle-Faucher;Z f s
La Chapelle-Felcourt;Z f s
La Chapelle-Forainvilliers;Z f s
La Chapelle-Fortin;Z f s
La Chapelle-Gauthier;Z f s
La Chapelle-Geneste;Z f s
La Chapelle-Glain;Z f s
La Chapelle-Gonaguet;Z f s
La Chapelle-Grésignac;Z f s
La Chapelle-Hareng;Z f s
La Chapelle-Hermier;Z f s
La Chapelle-Heulin;Z f s
La Chapelle-Hugon;Z f s
La Chapelle-Huon;Z f s
La Chapelle-Iger;Z f s
La Chapelle-Janson;Z f s
La Chapelle-Lasson;Z f s
La Chapelle-Launay;Z f s
La Chapelle-Laurent;Z f s
La Chapelle-Longueville;Z f s
La Chapelle-Marcousse;Z f s
La Chapelle-Montabourlet;Z f s
La Chapelle-Montbrandeix;Z f s
La Chapelle-Montligeon;Z f s
La Chapelle-Montlinard;Z f s
La Chapelle-Montmartin;Z f s
La Chapelle-Montmoreau;Z f s
La Chapelle-Moulière;Z f s
La Chapelle-Moutils;Z f s
La Chapelle-Naude;Z f s
La Chapelle-Neuve;Z f s
La Chapelle-Onzerain;Z f s
La Chapelle-Orthemale;Z f s
La Chapelle-Palluau;Z f s
La Chapelle-Pouilloux;Z f s
La Chapelle-Rablais;Z f s
La Chapelle-Rainsouin;Z f s
La Chapelle-Rambaud;Z f s
La Chapelle-Saint-André;Z f s
La Chapelle-Saint-Aubert;Z f s
La Chapelle-Saint-Aubin;Z f s
La Chapelle-Saint-Fray;Z f s
La Chapelle-Saint-Géraud;Z f s
La Chapelle-Saint-Jean;Z f s
La Chapelle-Saint-Laud;Z f s
La Chapelle-Saint-Laurent;Z f s
La Chapelle-Saint-Laurian;Z f s
La Chapelle-Saint-Luc;Z f s
La Chapelle-Saint-Martial;Z f s
La Chapelle-Saint-Martin;Z f s
La Chapelle-Saint-Martin-en-Plaine;Z f s
La Chapelle-Saint-Maurice;Z f s
La Chapelle-Saint-Mesmin;Z f s
La Chapelle-Saint-Ouen;Z f s
La Chapelle-Saint-Quillain;Z f s
La Chapelle-Saint-Rémy;Z f s
La Chapelle-Saint-Sauveur;Z f s
La Chapelle-Saint-Sulpice;Z f s
La Chapelle-Saint-Sépulcre;Z f s
La Chapelle-Saint-Ursin;Z f s
La Chapelle-Souëf;Z f s
La Chapelle-Taillefert;Z f s
La Chapelle-Thouarault;Z f s
La Chapelle-Thècle;Z f s
La Chapelle-Thémer;Z f s
La Chapelle-Urée;Z f s
La Chapelle-Vaupelteigne;Z f s
La Chapelle-Vendômoise;Z f s
La Chapelle-Vicomtesse;Z f s
La Chapelle-Viel;Z f s
La Chapelle-Villars;Z f s
La Chapelle-au-Mans;Z f s
La Chapelle-au-Moine;Z f s
La Chapelle-au-Riboul;Z f s
La Chapelle-aux-Bois;Z f s
La Chapelle-aux-Brocs;Z f s
La Chapelle-aux-Chasses;Z f s
La Chapelle-aux-Choux;Z f s
La Chapelle-aux-Filtzméens;Z f s
La Chapelle-aux-Naux;Z f s
La Chapelle-aux-Saints;Z f s
La Chapelle-d'Abondance;Z f s
La Chapelle-d'Alagnon;Z f s
La Chapelle-d'Aligné;Z f s
La Chapelle-d'Angillon;Z f s
La Chapelle-d'Armentières;Z f s
La Chapelle-d'Aunainville;Z f s
La Chapelle-d'Aurec;Z f s
La Chapelle-de-Bragny;Z f s
La Chapelle-de-Brain;Z f s
La Chapelle-de-Guinchay;Z f s
La Chapelle-de-Surieu;Z f s
La Chapelle-de-la-Tour;Z f s
La Chapelle-des-Fougeretz;Z f s
La Chapelle-des-Marais;Z f s
La Chapelle-des-Pots;Z f s
La Chapelle-devant-Bruyères;Z f s
La Chapelle-du-Bard;Z f s
La Chapelle-du-Bois;Z f s
La Chapelle-du-Bois-des-Faulx;Z f s
La Chapelle-du-Bourgay;Z f s
La Chapelle-du-Châtelard;Z f s
La Chapelle-du-Mont-de-France;Z f s
La Chapelle-du-Mont-du-Chat;Z f s
La Chapelle-du-Noyer;Z f s
La Chapelle-en-Lafaye;Z f s
La Chapelle-en-Serval;Z f s
La Chapelle-en-Valgaudémar;Z f s
La Chapelle-en-Vercors;Z f s
La Chapelle-en-Vexin;Z f s
La Chapelle-la-Reine;Z f s
La Chapelle-lès-Luxeuil;Z f s
La Chapelle-près-Sées;Z f s
La Chapelle-sous-Brancion;Z f s
La Chapelle-sous-Dun;Z f s
La Chapelle-sous-Orbais;Z f s
La Chapelle-sous-Uchon;Z f s
La Chapelle-sur-Aveyron;Z f s
La Chapelle-sur-Chézy;Z f s
La Chapelle-sur-Coise;Z f s
La Chapelle-sur-Dun;Z f s
La Chapelle-sur-Erdre;Z f s
La Chapelle-sur-Furieuse;Z f s
La Chapelle-sur-Loire;Z f s
La Chapelle-sur-Oreuse;Z f s
La Chapelle-sur-Usson;Z f s
La Charité-sur-Loire;Z f s
La Chartre-sur-le-Loir;Z f s
La Chaussée-Saint-Victor;Z f s
La Chaussée-Tirancourt;Z f s
La Chaussée-d'Ivry;Z f s
La Chaussée-sur-Marne;Z f s
La Chaux-du-Dombief;Z f s
La Chaux-en-Bresse;Z f s
La Châtre-Langlin;Z f s
La Cluse-et-Mijoux;Z f s
La Colle-sur-Loup;Z f s
La Combe-de-Lancey;Z f s
La Condamine-Châtelard;Z f s
La Corne-en-Vexin;Z f s
La Couarde-sur-Mer;Z f s
La Cour-Marigny;Z f s
La Couture-Boussey;Z f s
La Croisille-sur-Briance;Z f s
La Croix-Blanche;Z f s
La Croix-Comtesse;Z f s
La Croix-Helléan;Z f s
La Croix-Valmer;Z f s
La Croix-aux-Bois;Z f s
La Croix-aux-Mines;Z f s
La Croix-de-la-Rochette;Z f s
La Croix-du-Perche;Z f s
La Croix-en-Brie;Z f s
La Croix-en-Champagne;Z f s
La Croix-en-Touraine;Z f s
La Croix-sur-Gartempe;Z f s
La Croix-sur-Ourcq;Z f s
La Croix-sur-Roudoule;Z f s
La Côte-Saint-André;Z f s
La Côte-d'Arbroz;Z f s
La Côte-en-Couzan;Z f s
La Digne-d'Amont;Z f s
La Digne-d'Aval;Z f s
La Fage-Montivernoux;Z f s
La Fage-Saint-Julien;Z f s
La Fare-en-Champsaur;Z f s
La Fare-les-Oliviers;Z f s
La Ferrière-Airoux;Z f s
La Ferrière-Bochard;Z f s
La Ferrière-Béchet;Z f s
La Ferrière-au-Doyen;Z f s
La Ferrière-aux-Étangs;Z f s
La Ferrière-en-Parthenay;Z f s
La Ferrière-sur-Risle;Z f s
La Ferté-Alais;Z f s
La Ferté-Beauharnais;Z f s
La Ferté-Bernard;Z f s
La Ferté-Chevresis;Z f s
La Ferté-Gaucher;Z f s
La Ferté-Hauterive;Z f s
La Ferté-Imbault;Z f s
La Ferté-Loupière;Z f s
La Ferté-Milon;Z f s
La Ferté-Saint-Aubin;Z f s
La Ferté-Saint-Cyr;Z f s
La Ferté-Saint-Samson;Z f s
La Ferté-Vidame;Z f s
La Ferté-en-Ouche;Z f s
La Ferté-sous-Jouarre;Z f s
La Ferté-sur-Chiers;Z f s
La Folletière-Abenon;Z f s
La Fontaine-Saint-Martin;Z f s
La Forest-Landerneau;Z f s
La Forêt-Fouesnant;Z f s
La Forêt-Sainte-Croix;Z f s
La Forêt-de-Tessé;Z f s
La Forêt-du-Parc;Z f s
La Forêt-du-Temple;Z f s
La Forêt-le-Roi;Z f s
La Forêt-sur-Sèvre;Z f s
La Fosse-Corduan;Z f s
La Foye-Monjault;Z f s
La Fresnaie-Fayel;Z f s
La Frette-sur-Seine;Z f s
La Garde-Adhémar;Z f s
La Garde-Freinet;Z f s
La Garenne-Colombes;Z f s
La Grand-Combe;Z f s
La Grand-Croix;Z f s
La Grande-Fosse;Z f s
La Grande-Motte;Z f s
La Grande-Paroisse;Z f s
La Grande-Résie;Z f s
La Grande-Verrière;Z f s
La Gripperie-Saint-Symphorien;Z f s
La Grève-sur-Mignon;Z f s
La Grée-Saint-Laurent;Z f s
La Guerche-de-Bretagne;Z f s
La Guerche-sur-l'Aubois;Z f s
La Haie-Fouassière;Z f s
La Haie-Traversaine;Z f s
La Haute-Beaume;Z f s
La Haute-Maison;Z f s
La Haye-Aubrée;Z f s
La Haye-Bellefond;Z f s
La Haye-Malherbe;Z f s
La Haye-Pesnel;Z f s
La Haye-Saint-Sylvestre;Z f s
La Haye-d'Ectot;Z f s
La Haye-de-Calleville;Z f s
La Haye-de-Routot;Z f s
La Haye-du-Theil;Z f s
La Haye-le-Comte;Z f s
La Houssaye-Béranger;Z f s
La Houssaye-en-Brie;Z f s
La Jaille-Yvon;Z f s
La Jarrie-Audouin;Z f s
La Jemaye-Ponteyraud;Z f s
La Jonchère-Saint-Maurice;Z f s
La Lande-Chasles;Z f s
La Lande-Patry;Z f s
La Lande-Saint-Léger;Z f s
La Lande-Saint-Siméon;Z f s
La Lande-d'Airou;Z f s
La Lande-de-Fronsac;Z f s
La Lande-de-Goult;Z f s
La Lande-de-Lougé;Z f s
La Lanterne-et-les-Armonts;Z f s
La Loge-Pomblin;Z f s
La Loge-aux-Chèvres;Z f s
La Londe-les-Maures;Z f s
La Louptière-Thénard;Z f s
La Louvière-Lauragais;Z f s
La Lucerne-d'Outremer;Z f s
La Madelaine-sous-Montreuil;Z f s
La Madeleine-Bouvet;Z f s
La Madeleine-Villefrouin;Z f s
La Madeleine-de-Nonancourt;Z f s
La Madeleine-sur-Loing;Z f s
La Magdelaine-sur-Tarn;Z f s
La Maison-Dieu;Z f s
La Marolle-en-Sologne;Z f s
La Mazière-aux-Bons-Hommes;Z f s
La Meilleraie-Tillay;Z f s
La Meilleraye-de-Bretagne;Z f s
La Membrolle-sur-Choisille;Z f s
La Monnerie-le-Montel;Z f s
La Mothe-Saint-Héray;Z f s
La Motte-Chalancon;Z f s
La Motte-Fanjas;Z f s
La Motte-Feuilly;Z f s
