Abadia dos Dourados
São Geraldo da Piedade
São Geraldo do Baixio
São Gonçalo do Abaeté
São Gonçalo do Pará
São Gonçalo do Rio Abaixo
São Gonçalo do Rio Preto
São Gonçalo do Sapucaí
São Gotardo
São João Batista do Glória
São João da Lagoa
São João da Mata
São João da Ponte
São João das Missões
São João del-Rei
São João do Manhuaçu
São João do Manteninha
São João do Oriente
São João do Pacuí
São João do Paraíso
São João Evangelista
São João Nepomuceno
São Joaquim de Bicas
São José da Barra
São José da Lapa
São José da Safira
São José da Varginha
São José do Alegre
São José do Divino
São José do Goiabal
São José do Jacuri
São José do Mantimento
São Lourenço
São Miguel do Anta
São Pedro da União
São Pedro do Suaçuí
São Pedro dos Ferros
São Romão
São Roque de Minas
São Sebastião da Bela Vista
São Sebastião da Vargem Alegre
São Sebastião do Anta
São Sebastião do Maranhão
São Sebastião do Oeste
São Sebastião do Paraíso
São Sebastião do Rio Preto
São Sebastião do Rio Verde
São Tiago
São Tomás de Aquino
São Tomé das Letras
São Vicente de Minas
Sapucaí-Mirim
Sardoá
Sarzedo
Sem-Peixe
Senador Amaral
Senador Cortes
Senador Firmino
Senador José Bento
Senador Modestino Gonçalves
Senhora de Oliveira
Senhora do Porto
Senhora dos Remédios
Sericita
Seritinga
Serra Azul de Minas
Serra da Saudade
Serra do Salitre
Serra dos Aimorés
Serrania
Serranópolis de Minas
Serranos
Serro
Sete Lagoas
Setubinha
Silveirânia
Silvianópolis
Simão Pereira
Simonésia
Sobrália
Soledade de Minas
Tabuleiro
Taiobeiras
Taparuba
Tapira
Tapiraí
Taquaraçu de Minas
Tarumirim
Teixeiras
Teófilo Otoni
Timóteo
Tiradentes
Tiros
Tocantins
Tocos do Moji
Toledo
Tombos
Três Corações
Três Marias
Três Pontas
Tumiritinga
Tupaciguara
Turmalina
Turvolândia
Ubá
Ubaí
Ubaporanga
Uberaba
Uberlândia
Umburatiba
Unaí
União de Minas
Uruana de Minas
Urucânia
Urucuia
Vargem Alegre
Vargem Bonita
Vargem Grande do Rio Pardo
Varginha
Varjão de Minas
Várzea da Palma
Varzelândia
Vazante
Verdelândia
Veredinha
Veríssimo
Vermelho Novo
Vespasiano
Viçosa
Vieiras
Virgem da Lapa
Virgínia
Virginópolis
Virgolândia
Visconde do Rio Branco
Volta Grande
Wenceslau Braz
