Abaíra
Guaratinga
Heliópolis
Iaçu
Ibiassucê
Ibicaraí
Ibicoara
Ibicuí
Ibipeba
Ibipitanga
Ibiquera
Ibirapitanga
Ibirapuã
Ibirataia
Ibitiara
Ibititá
Ibotirama
Ichu
Igaporã
Igrapiúna
Iguaí
Ilhéus
Inhambupe
Ipecaetá
Ipiaú
Ipirá
Ipupiara
Irajuba
Iramaia
Iraquara
Irará
Irecê
Itabela
Itaberaba
Itabuna
Itacaré
Itaetê
Itagi
Itagibá
Itagimirim
Itaguaçu da Bahia
Itaju do Colônia
Itajuípe
Itamaraju
Itamari
Itambé
Itanagra
Itanhém
Itaparica
Itapé
Itapebi
Itapetinga
Itapicuru
Itapitanga
Itaquara
Itarantim
Itatim
Itiruçu
Itiúba
Itororó
Ituaçu
Ituberá
Iuiú
Jaborandi
Jacaraci
Jacobina
Jaguaquara
Jaguarari
Jaguaripe
Jandaíra
Jequié
Jeremoabo
Jiquiriçá
Jitaúna
João Dourado
Juazeiro
Jucuruçu
Jussara
Jussari
Jussiape
Lafaiete Coutinho
Lagoa Real
Laje
Lajedão
Lajedinho
Lajedo do Tabocal
Lamarão
Lapão
Lauro de Freitas
Lençóis
Licínio de Almeida
Livramento de Nossa Senhora
Luís Eduardo Magalhães
Macajuba
Macarani
Macaúbas
Macururé
Madre de Deus
Maetinga
Maiquinique
Mairi
Malhada de Pedras
Malhada
Manoel Vitorino
Mansidão
Maracás
Maragogipe
Maraú
Marcionílio Souza
Mascote
Mata de São João
Matina
Medeiros Neto
Miguel Calmon
Milagres
Mirangaba
Mirante
Monte Santo
Morpará
Morro do Chapéu
Mortugaba
Mucugê
Mucuri
Mulungu do Morro
Mundo Novo
Muniz Ferreira
Muquém do São Francisco
Muritiba
Mutuípe
Nazaré
Nilo Peçanha
Nordestina
Nova Canaã
Nova Fátima
Nova Ibiá
Nova Itarana
Nova Redenção
Nova Soure
Nova Viçosa
Novo Horizonte
Novo Triunfo
Olindina
Oliveira dos Brejinhos
Ouriçangas
Ourolândia
Palmas de Monte Alto
Palmeiras
Paramirim
Paratinga
Paripiranga
Pau Brasil
Paulo Afonso
Pé de Serra
Pedrão
Pedro Alexandre
Piatã
Pilão Arcado
Pindaí
Pindobaçu
Pintadas
Piraí do Norte
Piripá
Piritiba
Planaltino
Planalto
Poções
Pojuca
Ponto Novo
Porto Seguro
Potiraguá
Prado
Presidente Dutra
Presidente Jânio Quadros
Presidente Tancredo Neves
Queimadas
Quijingue
Quixabeira
Rafael Jambeiro
Remanso
Retirolândia
Riachão das Neves
Riachão do Jacuípe
Riacho de Santana
Ribeira do Amparo
Ribeira do Pombal
Ribeirão do Largo
Rio de Contas
Rio do Antônio
Rio do Pires
Rio Real
Rodelas
Ruy Barbosa
Salinas da Margarida
Salvador
Santa Bárbara
Santa Brígida
Santa Cruz Cabrália
Santa Cruz da Vitória
Santa Inês
Santa Luzia
Santa Maria da Vitória
Santa Rita de Cássia
Santa Teresinha
Santaluz
Santana
Santanópolis
Santo Amaro
Santo Antônio de Jesus
Santo Estêvão
São Desidério
São Domingos
São Felipe
São Félix
São Félix do Coribe
São Francisco do Conde
São Gabriel
São Gonçalo dos Campos
São José da Vitória
São José do Jacuípe
São Miguel das Matas
São Sebastião do Passé
Sapeaçu
Sátiro Dias
Saubara
Saúde
Seabra
Sebastião Laranjeiras
Senhor do Bonfim
Sento Sé
Serra do Ramalho
Serra Dourada
Serra Preta
Serrinha
Serrolândia
Simões Filho
Sítio do Mato
Sítio do Quinto
Sobradinho
Souto Soares
Tabocas do Brejo Velho
Tanhaçu
Tanque Novo
Tanquinho
Taperoá
Tapiramutá
Teixeira de Freitas
Teodoro Sampaio
Teofilândia
Teolândia
Terra Nova
Tremedal
Tucano
Uauá
Ubaíra
Ubaitaba
Ubatã
Uibaí
Umburanas
Una
Urandi
Uruçuca
Utinga
Valença
Valente
Várzea da Roça
Várzea do Poço
Várzea Nova
Varzedo
Vera Cruz
Vereda
Vitória da Conquista
Wagner
Wanderley
Wenceslau Guimarães
Xique-Xique
